Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Quantexa,https://www.crunchbase.com/organization/quantexa,,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Quantexa is a decision intelligence platform that helps public and private companies uncover hidden risks and identify new opportunities.,1,,,Active,2016-03-01,month,http://www.quantexa.com,https://www.linkedin.com/company/quantexa,"Analytics, Artificial Intelligence (AI), Compliance, InsurTech, Risk Management","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",2,"Imam Hoque, Vishal Marria",501-1000,,For Profit,Made Acquisitions,Private,375
Auki Labs,https://www.crunchbase.com/organization/auki-labs,,1,,"Kowloon City, Kowloon, Hong Kong",Asia-Pacific (APAC),"Auki Labs makes products that allow people to create, own, inhabit and interact with virtual worlds and objects anchored in reality.",1,,,Active,2020-04-01,day,https://www.aukilabs.com/,https://www.linkedin.com/company/aukilabs/,"Artificial Intelligence (AI), Augmented Reality, Blockchain, Cryptocurrency, Metaverse","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Hardware, Media and Entertainment, Other, Payments, Science and Engineering, Software",2,"Nils Pihl, Ted Östrem",1-10,,For Profit,,Private,"2,225"
Spryker,https://www.crunchbase.com/organization/spryker-systems,,1,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Spryker is a commerce technology platform that enables global enterprises to build transactional business models.,1,,,Active,2014-11-01,day,http://spryker.com,https://www.linkedin.com/company/spryker,"B2B, B2C, E-Commerce Platforms, Enterprise Software, Marketplace, SaaS","Commerce and Shopping, Internet Services, Other, Software",3,"Alexander Graf, Boris Lokschin, Fabian Wesner",251-500,,For Profit,,Private,"2,608"
Navlungo,https://www.crunchbase.com/organization/navlungo,,1,,"Pendik, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Navlungo is a digital logistics platform that allows freight owners to see and purchase transportation deals from local service providers.,1,,,Active,2019-05-28,day,https://navlungo.com/en,https://www.linkedin.com/company/navlungo,"E-Commerce, Logistics, Shipping, Software, Warehousing","Commerce and Shopping, Software, Transportation",5,"Alp Cicekdagi, Ceren Tuna, Emrah Arslan, Isa Korkmaz, Mutlu Boz",101-250,,For Profit,Made Acquisitions,Private,"6,951"
MADE,https://www.crunchbase.com/organization/made,,1,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Made.com is an online e-commerce platform directly providing designer furniture without third party involvement.,1,,,Active,2010-01-01,year,http://www.made.com,https://www.linkedin.com/company/made-com,"E-Commerce, Furniture, Home Decor, Retail","Commerce and Shopping, Consumer Goods, Real Estate",4,"Brent Hoberman, Chloe Macintosh, Julien Callede, Ning Li",251-500,,For Profit,"Made Acquisitions, Was Acquired",Private,"7,492"
Swile,https://www.crunchbase.com/organization/lunchr,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Swile is a digital solutions provider for employee benefits with an all-in-one smartcard and an app for team life.,1,,,Active,2018-01-01,year,https://www.swile.co/,https://www.linkedin.com/company/swile/,"Apps, Coupons, Employee Benefits, Food and Beverage, Mobile Payments","Administrative Services, Apps, Commerce and Shopping, Financial Services, Food and Beverage, Health Care, Mobile, Payments, Software",1,Loic Soubeyrand,501-1000,,For Profit,Made Acquisitions,Private,"8,046"
Gerresheimer Glas,https://www.crunchbase.com/organization/gerresheimer-glas,,1,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Gerresheimer Glas is a pharma and healthcare producer providing packing products made from plastic and glass.,1,,,Active,1864-01-01,year,http://www.gerresheimer.com,https://www.linkedin.com/company/gerresheimer/,"Health Care, Manufacturing","Health Care, Manufacturing",2,"Dietmar Siemssen, Steve Herring",10001+,,For Profit,"Made Acquisitions, Was Acquired",Public,"8,085"
Meero,https://www.crunchbase.com/organization/meero,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","Meero is a photo creation company that offers AI-powered photography production, quality check, and enhancement solutions.",1,,,Active,2016-01-01,year,https://www.meero.com,https://www.linkedin.com/company/meero/,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Photography, Video","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Hardware, Media and Entertainment, Science and Engineering, Software, Video",2,"Guillaume Lestrade, Thomas Rebaud",501-1000,,For Profit,,Private,"11,130"
Conversion Maker,https://www.crunchbase.com/organization/conversion-maker,,1,,"Offenburg, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Conversion Maker is a Marketing & Advertising company.,1,,,Active,2020-01-01,year,https://conversionmaker.com/,https://de.linkedin.com/company/conversion-maker,"Advertising, Marketing","Advertising, Sales and Marketing",,,11-50,,For Profit,,Private,"12,389"
Hazy,https://www.crunchbase.com/organization/hazy,,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Hazy is the world’s leading synthetic data company, re-engineering enterprise data so that it’s faster, easier and safer to use.",1,,,Active,2017-01-01,month,https://hazy.com,https://www.linkedin.com/company/hazy-ai,"Enterprise Software, Machine Learning, Software","Artificial Intelligence (AI), Data and Analytics, Software",3,"Harry Keen, James Arthur, Luke Robinson",11-50,,For Profit,Was Acquired,Private,"12,715"
