Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Pistachio,https://www.crunchbase.com/organization/pistachio-c634,Active,,"Corporate Training, Cyber Security, SaaS, Training","Oslo, Oslo, Norway",Pistachio is an AI cybersecurity awareness training platform that offers users preparation and response to cybersecurity threats.,688,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",0187,,2019-01-01,year,,,,,For Profit,https://pistachioapp.com,https://twitter.com/PistachioApp_,,https://www.linkedin.com/company/pistachioapp-cybersecurity-training,Pistachio offers automated cybersecurity awareness training designed to build a resilient security culture within organizations. The company provides tailored training solutions to enhance cybersecurity awareness among teams. The platform includes attack simulations that help users prepare for and respond to evolving cybersecurity threats.,"Education, Information Technology, Privacy and Security, Software",3,11-50,"Jaan Kitchuk, Joe Jones, Mohammed Awais",2,Early Stage Venture,2025-04-29,7000000,USD,7000000,Series A,7000000,USD,7000000,Series A,10569052,USD,10569052,10569052,USD,10569052,"Angel Invest, Idekapital, J12, Signals Venture Capital, Walter Ventures",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Strise,https://www.crunchbase.com/organization/strise,Active,,"Analytics, Artificial Intelligence (AI), Information Technology, Software","Oslo, Oslo, Norway","Strise spearheads the AML Intelligence revolution, marking a shift where AML teams are not just a cost but vital enablers for organisations.","4,721","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",,,2019-01-01,year,,,,,For Profit,https://www.strise.ai/,,https://www.facebook.com/pg/striseai/videos/,https://www.linkedin.com/company/strise/,"Strise spearheads the AML Intelligence revolution, marking a shift where AML teams are not just a cost but vital enablers for organisations. They're battling financial crime with AI, ensuring efficiency and effectiveness.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,11-50,"Marit Rødevand, Patrick Skjennum, Sigve Søråsen",5,Early Stage Venture,2023-09-06,10000000,EUR,10723884,Series A,10000000,EUR,10723884,Series A,15429639,USD,15429639,15429639,USD,15429639,"Maki.vc, Conviction VC, Skyfall Ventures, Atomico, Curiosity VC",4,16,,,,,,,,,,,,,,Private,,,,,,,,,,,
Xeneta,https://www.crunchbase.com/organization/xeneta,Active,,"Analytics, Enterprise Software, Logistics, SaaS, Shipping","Oslo, Oslo, Norway",Xeneta is an ocean freight rate benchmarking and market intelligence platform and index.,"5,553","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",0181,$1M to $10M,2012-01-01,year,,,,,For Profit,https://www.xeneta.com,https://twitter.com/joinxeneta,https://www.facebook.com/xenetadotcom,https://www.linkedin.com/company/xeneta-as,"Xeneta provides container freight pricing transparency with one platform in real-time and on demand. Benchmark the ocean container freight rates with intelligent pricing data.  Xeneta's turnkey software platform holds 45+MN spot and long-term contracted rates for 160+K trade lanes. Stay on top of the shipping price market movements and make sure rates are competitive. Xeneta was launched in 2012 and is based in Oslo, Norway.","Data and Analytics, Software, Transportation",3,101-250,"Patrik Berglund, Thomas Sorbo, Vilhelm K. Vardoy",7,Late Stage Venture,2022-09-13,80000000,USD,80000000,Series D,80000000,USD,80000000,Series D,137185332,USD,137185332,137185332,USD,137185332,"Creandum, Point Nine, Alliance VC, Investinor, Aerion Partners",6,9,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Vev,https://www.crunchbase.com/organization/vev,Active,,"Content Marketing, Developer Tools, Enterprise, Enterprise Software, Publishing, Software, Web Design, Web Development","Oslo, Oslo, Norway",The all-in-one design platform for professionals to create and launch unique web experiences with complete creative and technical freedom.,"7,866","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2017-02-01,day,,,,,For Profit,https://www.vev.design/,https://twitter.com/vevdesign,https://www.facebook.com/thevevdesign,https://www.linkedin.com/company/vev/,We want to create a new industry standard to build anything front-end for the open web.,"Content and Publishing, Design, Media and Entertainment, Other, Sales and Marketing, Software",3,11-50,"Fredrik Evjen Ekli, Nicolay Thafvelin, Tine Karlsen",4,Seed,2021-05-27,5000000,EUR,6096461,Seed,5000000,EUR,6096461,Seed,7153116,USD,7153116,7153116,USD,7153116,"EQT Ventures, Skyfall Ventures, DMZ, Sagene Tech Ventures, Newmark Capital",3,5,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Iris.ai,https://www.crunchbase.com/organization/iris-ai,Active,,"Artificial Intelligence (AI), Assistive Technology, Information Technology, Machine Learning, Product Research","Oslo, Oslo, Norway",Iris.ai provides an AI science assistant that helps R&D departments navigate and find research text content.,"8,442","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",1368,$10M to $50M,2015-01-01,year,,,,,For Profit,https://iris.ai,http://twitter.com/theirisai,http://facebook.com/theirisai,http://linkedin.com/company/Iris-ai,"Iris.ai provides an AI science assistant that helps R&D departments navigate and find research text content. The company's RSpace solution provides smart search and a wide range of smart filters, reading list analysis, auto-generated summaries, autonomous extraction, and data systematization. Its AI platform allows clients from corporate R&D departments to university researchers to unlock the latest scientific insights beyond human capabilities alone.","Artificial Intelligence (AI), Data and Analytics, Design, Health Care, Information Technology, Science and Engineering, Software",4,11-50,"Anita Schjøll Abildgaard, Jacobo Elosua, Maria Ritola, Victor Botev",11,Early Stage Venture,2024-05-29,7640000,EUR,8252117,Series A,7640000,EUR,8252117,Series A,24504389,USD,24504389,28590298,USD,28590298,"European Innovation Council, Founders Factory, EASME, EIC Accelerator, Singularity University Ventures",2,11,,,,,,,,,,,,,,Private,,,,,,,,,,,4
Dune Analytics,https://www.crunchbase.com/organization/dune-analytics,Active,,"Analytics, Blockchain, Cryptocurrency, Ethereum, Trading Platform","Oslo, Oslo, Norway",Dune Analytics is an Ethereum-centric analytics platform that makes on-chain crypto data accessible and consumable.,"9,418","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,year,,,,,For Profit,https://www.duneanalytics.com/,https://twitter.com/DuneAnalytics,,https://www.linkedin.com/company/dune-analytics/,Dune Analytics is the Ethereum-centric analytics platform that makes on-chain crypto data accessible and consumable. The company was founded by Fredrik Haga and Mats Olsen in 2018 and is headquartered in,"Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Lending and Investments, Other, Payments, Software",2,11-50,"Fredrik Haga, Mats Olsen",3,Early Stage Venture,2022-02-02,69420000,USD,69420000,Series B,69420000,USD,69420000,Series B,79420000,USD,79420000,79420000,USD,79420000,"Union Square Ventures, Coatue, Dragonfly, Multicoin Capital, Digital Currency Group",3,21,,,,,,,,,,,,,,Private,,,,,,,,,,,
Aquabyte,https://www.crunchbase.com/organization/aquabyte,Active,,"Agriculture, Aquaculture, Information Services, Information Technology, Machine Learning","Laksevåg, Hordaland, Norway",Aquabyte builds machine learning camera IOT software to directly solve the world’s food sustainability issues.,"9,653","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",5160,$1M to $10M,2017-04-01,month,,,,,For Profit,https://www.aquabyte.no,https://twitter.com/aquabyteai,https://www.facebook.com/aquabyteai,https://www.linkedin.com/company/aquabyte,"Aquabyte builds machine-learning products for aquaculture (fish) farms. Aquabyte was founded in 2017 to bring machine learning and computer vision technologies to the aquaculture industry. The company's diverse team of machine learning experts, entrepreneurs, and aquaculture biologists are hyperfocused on delivering solutions with a real-world impact. Real-time sea lice counting, biomass monitoring, and appetite detection are just a few of the many applications that will eventually be possible with the Aquabyte system. Aquabyte surpasses modern farm monitoring products with our machine-learning platform and smart camera system. The company's solution offers easy installation, continuous monitoring, and multiple applications. Aquabyte’s mission is to use machine learning to make fish farms more efficient, sustainable, and profitable.","Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",1,51-100,Bryton Shang,5,Early Stage Venture,2022-07-13,25000000,USD,25000000,Series B,25000000,USD,25000000,Series B,48799999,USD,48799999,48799999,USD,48799999,"Alumni Ventures, New Enterprise Associates, Princeton University, The Nature Conservancy, Struck Capital",4,16,,,,,,,,,,,,,,Private,,,,,,,,,,,
Lightsonic,https://www.crunchbase.com/organization/lightsonic,Active,,"Artificial Intelligence (AI), Machine Learning, Software","Kristiansund, More og Romsdal, Norway",Lightsonic develops intelligent monitoring solutions.,"10,132","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",6518,,2023-01-01,year,,,,,,https://www.lightsonic.ai/,,,https://www.linkedin.com/company/lightsonicas/about/,Lightsonic develops intelligent monitoring solutions. Lightsonic transform how critical infrastructure is monitored to help preserve and optimise natural resources and reduce carbon emissions.,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,1-10,,1,Seed,2025-05-06,3300000,EUR,3734722,Seed,3300000,EUR,3734722,Seed,3300000,EUR,3734722,3300000,EUR,3734722,"Maki.vc, Sondo Capital, Raise Ventures, Christian Rokseth, Erik Ålgård",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Evyon,https://www.crunchbase.com/organization/eyvon,Active,,"Battery, Electrical Distribution, Electronics, Energy, Manufacturing","Oslo, Oslo, Norway","Evyon leverages a data-driven approach to repurpose discarded EV batteries into high-quality, sustainable and scalable battery systems.","11,794","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",0349,$1M to $10M,2020-01-01,year,2025-05-02,day,,,For Profit,https://www.evyon.com,https://twitter.com/evyonenergy,,https://www.linkedin.com/company/evyon,"Eyvon is an electrical company that provides EV battery solutions to accelerate into a fully renewable future for everyone. The company's proprietary hardware and Battery Cloud ecosystem enable the conversion of EV batteries into high-quality, affordable, and plug-and-play battery energy storage systems. Eyvon's mission is to convert battery waste into high-quality battery systems by repurposing discarded EV batteries. By leveraging a standardized and data-driven value chain, their ambition is to provide solutions at less than half the price of new ones. It was founded in 2020 and is based in Oslo, Norway.","Consumer Electronics, Energy, Hardware, Manufacturing",2,11-50,"Jorgen Erdal, Radu Achihai",3,M&A,2022-11-17,8000000,EUR,8288927,Seed,8000000,EUR,8288927,Seed,15308927,USD,15308927,16345043,USD,16345043,"Antler, Sandwater, Wiski Capital, Skagerak Energi",1,4,,Was Acquired,Evyon acquired by Elywhere North America,https://www.crunchbase.com/acquisition/elywhere-north-america-acquires-eyvon--7b07583f,Elywhere North America,https://www.crunchbase.com/organization/elywhere-north-america,2025-05-02,day,,,,Merger,,Private,,,,,,,,,,,
Glint Solar,https://www.crunchbase.com/organization/glint-solar,Active,,"Artificial Intelligence (AI), Renewable Energy, Software","Oslo, Oslo, Norway",Glint Solar provides software for identifying and analyzing solar project sites.,"11,852","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",0160,$1M to $10M,2020-01-01,year,,,,,For Profit,https://www.glintsolar.ai,,,https://www.linkedin.com/company/glint-solar,"Glint Solar offers a platform that enables users to efficiently identify and evaluate potential solar project sites using satellite data. The software simplifies the site selection process, allowing for quick analysis and preliminary design, fostering collaboration among teams. It integrates various data layers to enhance project feasibility assessments and streamline workflows across different departments.","Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",3,11-50,"Even Kvelland, Harald Olderheim, John Modin",3,Early Stage Venture,2024-11-07,8000000,USD,8000000,Series A,8000000,USD,8000000,Series A,11110000,USD,11110000,11110000,USD,11110000,"Antler, Momentum, Smedvig Ventures, Statkraft Ventures, Wiski Capital",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
