Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
EnduroSat,https://www.crunchbase.com/organization/endurosat,Active,,"Aerospace, Satellite Communication, Software","Sofia, Grad Sofiya, Bulgaria",EnduroSat designs and engineers spacecraft for business applications and space exploration missions.,"1,736","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2015-01-15,day,,,,,For Profit,https://www.endurosat.com/,https://twitter.com/endurosat,https://www.facebook.com/EnduroSat/,https://www.linkedin.com/company/endurosat/,EnduroSat designs and engineers spacecraft for business applications and space exploration missions. The company focuses on swarm/constellation satellite applications. EnduroSat builds customized satellites and providing complete support service for full-cycle missions.,"Hardware, Science and Engineering, Software",2,101-250,"Raycho Raychev, Stanimir Gantchev",8,Early Stage Venture,2025-05-27,43000000,EUR,49024582,Series B,43000000,EUR,49024582,Series B,64640644,USD,64640644,77665289,USD,77665289,"European Investment Bank, Founders Fund, Ceecat Capital, Morphosis Capital, EIC Accelerator",6,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
emma,https://www.crunchbase.com/organization/emma-4a91,Active,,"Cloud Computing, Cloud Data Services, Cloud Management, DevOps, PaaS","Luxembourg, Luxembourg, Luxembourg",Emma provides a cloud management platform to optimize and govern cloud environments.,"3,190","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2019-01-01,year,,,,,For Profit,https://emma.ms,https://twitter.com/emmamulticloud,https://www.facebook.com/emmamulticlouds,https://linkedin.com/company/emma-cloud,"Emma is a cloud management platform designed to help businesses manage, optimize, and govern their cloud environments seamlessly. The platform offers capabilities for centralized visibility, automated workflows, and cost control, enabling users to efficiently oversee their resources across multiple cloud providers.","Information Technology, Internet Services, Software",1,11-50,Dmitry Panenkov,3,Early Stage Venture,2024-11-25,17000000,USD,17000000,Series A,17000000,USD,17000000,Series A,23000000,USD,23000000,23000000,USD,23000000,"RTP Global, SmartFin, AltaIR Capital, CircleRock Capital, AAL VC",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Liki24,https://www.crunchbase.com/organization/liki24,Active,,"Delivery Service, E-Commerce, E-Commerce Platforms, Medical, Pharmaceutical","Kyiv, Kyyiv, Ukraine",Liki24 is a health-tech firm that provides delivery services for health and beauty products to customers.,"4,320","Europe, Middle East, and Africa (EMEA)",02100,$10M to $50M,2017-01-01,year,,,,,For Profit,https://liki24.com/,https://x.com/Liki24com,https://www.facebook.com/liki24.com.ua,https://www.linkedin.com/company/liki24,"Liki24 is a logistics company that features a software platform that utilizes deep integration with partner pharmacies, clinics, and insurance companies. Its software is designed for logistics team coordination, task management, and data management.","Commerce and Shopping, Health Care, Internet Services, Transportation",4,101-250,"Anton Avrinsky, Dmytro Liatambur, Sergii Fadieiev, Sergii Kliebanov",5,Early Stage Venture,2025-07-03,9000000,USD,9000000,Series A,9000000,USD,9000000,Series A,19000000,USD,19000000,19000000,USD,19000000,"Horizon Capital, N1, SID Venture Partners, Dnipro VC, TA Ventures",3,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
Quidax,https://www.crunchbase.com/organization/quidax,Active,,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Stock Exchanges","San Gwann, NA - Malta, Malta",Quidax is a digital assets exchange that allows users seamlessly buy and sell cryptocurrency with their local currency.,"7,644","European Union (EU), Middle East and North Africa (MENA), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2017-07-17,day,,,,,For Profit,https://www.quidax.com,https://twitter.com/QuidaxHQ,https://www.facebook.com/QuidaxGlobal,https://www.linkedin.com/company/quidax,At the core Quidax is about challenging the status quo to push humanity forward. Quidax is doing this by building solutions that knock down financial barriers to exchange of value  and trade. The first product is the online digital exchange that allows users easily buy and sell cryptocurrencies with their local currencies in less than 5 minutes. ,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",2,101-250,"Buchi Okoro, Morris Ebieroma",3,,2021-05-24,3000000,USD,3000000,Initial Coin Offering,3000000,USD,3000000,Initial Coin Offering,3620000,USD,3620000,3620000,USD,3620000,"Techstars, Genesis Node Capital",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Juicy Marbles,https://www.crunchbase.com/organization/juicy-marbles,Active,,"Food Processing, Organic Food","Kamnik, Bohinj Commune, Slovenia",Juicy marbles make thick juicy and marbled plant based steaks.,"10,967","European Union (EU), Europe, Middle East, and Africa (EMEA)",1241,,2019-01-01,year,,,,,For Profit,https://juicymarbles.com/,https://twitter.com/juicy_marbles,https://www.facebook.com/juicymarbles/,https://www.linkedin.com/company/juicymarbles/,"Juicy marbles make thick juicy and marbled plant-based steaks. They are a food-tech company. They developed proprietary protein texturing technology that enables us to produce plant-based whole cuts. Our vision is to produce a variety of meat products and match animal-derived counterparts by taste, price and convenience. We want to accelerate transition of meat industry into a more sustainable future - by 2030 we want to cut meat consumption in half.",Food and Beverage,4,11-50,"Luka Sinček, Maj Hrovat, Tilen Travnik, Vladimir Mićković",2,Seed,2021-11-01,4500000,USD,4500000,Seed,4500000,USD,4500000,Seed,4500000,USD,4500000,4500000,USD,4500000,"Y Combinator, Goodwater Capital, Nucleus Capital, World Fund, Fitbit",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
Wasp,https://www.crunchbase.com/organization/wasp-493d,Active,,"Information Technology, SaaS, Software, Web Development","Zagreb, Grad Zagreb, Croatia",Wasp is a programming language for building full-stack web applications.,"12,872","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2020-01-01,year,,,,,For Profit,https://wasp.sh/,https://twitter.com/WaspLang,,https://www.linkedin.com/company/wasp-lang/,"Wasp is a programming language for building full-stack web applications. Wasp is a simple configuration language for building enterprise web apps with less code and best practices. The company was founded by Martin Sosic and Matija Sosic in 2020 and is headquartered in Zagreb, Croatia.","Information Technology, Software",2,1-10,"Martin Sosic, Matija Sosic",3,Seed,2025-04-21,3700000,USD,3700000,Seed,3700000,USD,3700000,Seed,5325000,USD,5325000,5325000,USD,5325000,"Y Combinator, 468 Capital, HV Capital, Lunar Ventures, Acequia Capital (AceCap)",2,14,,,,,,,,,,,,,,Private,,,,,,,,,,,
Gideon,https://www.crunchbase.com/organization/GideonRobotics,Active,,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software","Zagreb, Grad Zagreb, Croatia",Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,"14,255","European Union (EU), Europe, Middle East, and Africa (EMEA)",10000,$1M to $10M,2017-02-01,month,,,,,For Profit,http://www.gideon.ai,https://twitter.com/GideonRobotics,https://www.facebook.com/gideonrobotics/,http://linkedin.com/company/gideonrobotics,"Gideon develops autonomous, mobile, collaborative and modular robots for unstructured, indoor, human industrial environments. They are one of the largest robotics engineering companies in Central and Southeastern Europe. Founded in 2017, the company is headquartered in Zagreb, Croatia.","Apps, Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Internet Services, Mobile, Real Estate, Science and Engineering, Software, Transportation",10,101-250,"Adam Lamkharbech, Edin Kočo, Josip Ćesić, Kruno Stražanac, Marco Matera, Matija Kopić, Michele Galli, Milan Račić, Nicola Russo, Silvia Di Nardo",12,,2024-09-05,,,,Corporate Round,,,,Corporate Round,42291327,USD,42291327,42311327,USD,42311327,"Plug and Play, LocalGlobe, HCVC, Koch Disruptive Technologies, Rite-Hite",4,20,,,,,,,,,,,,,,Private,,,,,,,,,,,4
Aiva Technologies,https://www.crunchbase.com/organization/aiva-technologies,Active,,"Artificial Intelligence (AI), Machine Learning, Media and Entertainment, Music","Luxembourg, Luxembourg, Luxembourg",Aiva Technologies is an AI company that helps individuals by creating personalized soundtracks with AI.,"19,329","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2016-01-01,year,,,,,For Profit,http://www.aiva.ai/,https://twitter.com/aivatechnology,https://www.facebook.com/aivatechnologies,https://www.linkedin.com/company/aiva-technologies/,"Aiva Technologies is an AI company that helps individuals by creating personalized soundtracks with AI. The company composes soundtrack music for motion pictures, games, commercials, and trailers. It develops compelling themes for projects faster than ever before, by leveraging the power of AI-generated music. Aiva was founded in 2016 and is headquartered in Luxembourg.","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",3,1-10,"Denis Shtefan, Pierre Barreau, Vincent Barreau",3,Early Stage Venture,2024-06-01,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,17466273,USD,17466273,17466273,USD,17466273,"Kima Ventures, NetEase",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Chipolo,https://www.crunchbase.com/organization/chipolo,Active,,"Consumer Goods, Hardware, Internet of Things, Software","Trbovlje, Trbovlje Commune, Slovenia",Chipolo is a Bluetooth-based item finder for iPhone and Android platforms.,"21,258","European Union (EU), Europe, Middle East, and Africa (EMEA)",SI-1420,$1M to $10M,2013-01-01,month,,,,,For Profit,http://chipolo.net,http://twitter.com/ChipoloTM,http://www.facebook.com/chipolotm,https://www.linkedin.com/company/chipolo/,"Chipolo is a Bluetooth enabled leash that wirelessly tethers to nearly any Bluetooth enabled mobile phone. It helps you find your stuff, whether it's lost or was just left somewhere. Chipolo isn’t just portable. It’s wearable, too. Clip it to your home or car keys, wallet, backpack, cat, dog - you name it.","Consumer Goods, Hardware, Internet Services, Software",2,11-50,"Domen Barovic, Primoz Zelensek",3,Seed,2019-03-04,120000,USD,120000,Seed,120000,USD,120000,Seed,410759,USD,410759,700759,USD,700759,"Techstars, Slovene Enterprise Fund",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,5
Deus Robotics,https://www.crunchbase.com/organization/deus-robotics,Active,,"Artificial Intelligence (AI), Industrial Automation, Logistics, Robotics, Warehousing","Kyiv, Kyyiv, Ukraine","We design, develop and produce robots for logistics.","22,011","Europe, Middle East, and Africa (EMEA)",01021,,2018-01-01,year,,,,,For Profit,https://deusrobotics.com,,,https://www.linkedin.com/company/deus-robots,"Deus Robotics is an innovative company that is pushing the boundaries of robotics technology. With a team of experienced engineers and designers, we are developing cutting-edge robotics solutions that have the potential to revolutionize industries ranging from manufacturing to healthcare. Our mission is to create intelligent machines that can augment human capabilities, improve efficiency, and enhance safety. Join us in shaping the future of robotics and unlocking new possibilities for human-machine collaboration.","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation",1,11-50,Pavlo Pikulin,3,Seed,2025-05-15,100000,USD,100000,Non-equity Assistance,3000000,USD,3000000,Seed,4500000,USD,4500000,4600000,USD,4600000,"Google for Startups, SID Venture Partners, 1991 Ventures, u.ventures, SMRK VC Fund",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
