Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Tella,https://www.crunchbase.com/funding_round/tella-b2b0-seed--030d8904,Tella,https://www.crunchbase.com/organization/tella-b2b0,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2025-04-23,2100000,USD,2100000,Seed,,,,Yes,"Tella is software that allows users to create, edit, customize and share videos for presentations, and tutorials.","Productivity Tools, Software, Video, Video Editing",,https://www.tella.tv,Less than $1M,2225000,USD,2225000,Seed,3,Gradient,"AltaIR Capital, Gradient, Lobster Capital, Mento VC, Roland Keijzer, Singularity Capital",2,6,706
Pre Seed Round - Maps Untold,https://www.crunchbase.com/funding_round/maps-untold-pre-seed--e4adac6e,Maps Untold,https://www.crunchbase.com/organization/maps-untold,Pre-Seed,"Eindhoven, Noord-Brabant, The Netherlands, Europe",2025-04-01,350000,EUR,378985,Seed,,,,Yes,Maps Untold is an on-demand travel advice platform for each individual personally.,Mapping Services,,https://www.mapsuntold.io/,,350000,EUR,378985,Seed,1,"Leisure Ontwikkel Fonds, Rabobank","Leisure Ontwikkel Fonds, Rabobank",,2,"2,743"
Seed Round - ClickDrive,https://www.crunchbase.com/funding_round/clickdrive-2654-seed--5ce018b6,ClickDrive,https://www.crunchbase.com/organization/clickdrive-2654,Seed,"Rotterdam, Zuid-Holland, The Netherlands, Europe",2025-05-01,750000,EUR,849440,Seed,,,,Yes,"Clickdrive helps individuals find the best driving school and obtain their driving license quickly, easily, and affordably.","Online Portals, Professional Services, Training",,https://clickdrive.nl,,750000,EUR,849440,Seed,1,Graduate Entrepreneur Fund,Graduate Entrepreneur Fund,1,1,"2,879"
Seed Round - Cano-ela,https://www.crunchbase.com/funding_round/cano-ela-seed--8803e30f,Cano-ela,https://www.crunchbase.com/organization/cano-ela,Seed,"Ede, Gelderland, The Netherlands, Europe",2025-03-11,1600000,EUR,1748422,Seed,,,,Yes,Cano-ela is a food technology firm that intends to remove refined ingredients from the food supply chain.,Food and Beverage,,https://cano-ela.com,,1675000,EUR,1831914,Seed,2,,"Ecoseed, OostNL, Value Factory Ventures",3,3,"5,439"
Seed Round - Userguest.com,https://www.crunchbase.com/funding_round/userguest-com-seed--1c5fa75e,Userguest.com,https://www.crunchbase.com/organization/userguest-com,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-09-11,2200000,EUR,2422270,Seed,,,,Yes,Userguest displays personalized incentives on hotel websites to maximise their direct revenue,"Marketing, SaaS, Software, Travel",,https://userguest.com/,Less than $1M,3187176,USD,3187176,Seed,4,Al Mada Ventures,"Al Mada Ventures, CDG Invest, Kalys Ventures, Philippe Limes, Plug & Play Design, Saviu Ventures, Thane Kuhlman, UM6P Ventures",2,8,"8,072"
Pre Seed Round - Conservio,https://www.crunchbase.com/funding_round/conservation-club-pre-seed--bd6e0345,Conservio,https://www.crunchbase.com/organization/conservation-club,Pre-Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2025-01-15,1000000,USD,1000000,Seed,,,,Yes,Marketplace for nature-based travel,"Tourism, Travel",,https://conservio.com/,Less than $1M,1700000,USD,1700000,Seed,3,E4EAfrica,"E4EAfrica, Jonathan Smit, LIVING HOPE VC, Volve Capital",2,4,"8,975"
Seed Round - Villari,https://www.crunchbase.com/funding_round/villari-2005-seed--d796a2b9,Villari,https://www.crunchbase.com/organization/villari-2005,Seed,"Delft, Zuid-Holland, The Netherlands, Europe",2025-01-30,4000000,EUR,4170420,Seed,,,,Yes,Villari delivers wireless structural health monitoring technology.,"Hardware, Internet of Things, IT Management, Software",,https://www.villari.nl/,$1M to $10M,6850000,EUR,7254436,Seed,3,"FORWARD.one, InnovationQuarter","FORWARD.one, InnovationQuarter",3,2,"9,546"
Seed Round - BIMINI Biotech,https://www.crunchbase.com/funding_round/bimini-biotech-seed--ca934afd,BIMINI Biotech,https://www.crunchbase.com/organization/bimini-biotech,Seed,"Leiden, Zuid-Holland, The Netherlands, Europe",2025-01-13,3000000,EUR,3064696,Seed,,,,Yes,BIMINI Biotech is a startup that develops innovative therapeutic strategies for oncology.,"Biotechnology, Life Science, Oncology, Therapeutics",,https://biminibiotech.nl/,,3200000,EUR,3302914,Seed,2,Torrey Pines Investment,"InnovationQuarter, LEH, Torrey Pines Investment",2,3,"9,926"
Seed Round - PHOTON IP,https://www.crunchbase.com/funding_round/photon-ip-seed--79e66760,PHOTON IP,https://www.crunchbase.com/organization/photon-ip,Seed,"Eindhoven, Noord-Brabant, The Netherlands, Europe",2025-01-13,4750000,EUR,4852435,Seed,,,,Yes,chipmaker for advanced optical chips,"Optical Communication, Semiconductor",,https://www.photonip.tech,,6750000,EUR,6895565,Seed,3,Innovation Industries,"BOM, Faber, Innovation Industries, PhotonDelta",1,4,"12,202"
Seed Round - BIYU,https://www.crunchbase.com/funding_round/biyu-seed--488f9936,BIYU,https://www.crunchbase.com/organization/biyu,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-11-01,900000,EUR,978345,Seed,,,,Yes,BIYU is a SAAS company supporting companies active in equipment rental services,"Information Technology, Internet, Mobile Apps, SaaS",,https://www.biyu.world,$1M to $10M,3300000,EUR,3499473,Seed,3,,"Arket Ventures, Chris Bouwer, ROM InWest, Shamrock Ventures, Urban Impact Ventures",,5,"12,247"
Seed Round - Hypersoniq,https://www.crunchbase.com/funding_round/hypersoniq-seed--a296f68d,Hypersoniq,https://www.crunchbase.com/organization/hypersoniq,Seed,"Delft, Zuid-Holland, The Netherlands, Europe",2025-01-09,1100000,EUR,1135023,Seed,,,,Yes,"Hypersoniq Provides clear insights about liquid quality to maintain compliance, save money, and lessen the impact on the environment.","Commercial, Manufacturing, Test and Measurement",,https://hypersoniqtech.com,,1450000,EUR,1517981,Seed,2,VP Capital,"Netherlands Enabling Water Technology Fund, Thematic Technology Transfer, VP Capital",1,3,"12,418"
Seed Round - Artica Therapeutics,https://www.crunchbase.com/funding_round/artica-therapeutics-seed--7b0debaf,Artica Therapeutics,https://www.crunchbase.com/organization/artica-therapeutics,Seed,"Leiden, Zuid-Holland, The Netherlands, Europe",2023-11-02,12000000,EUR,12738854,Seed,,,,Yes,"Artica Therapeutics specializes in biotechnological research and development for medical devices, pharmaceutical processes, and food.",Biotechnology,,https://www.artica-tx.com/,$1M to $10M,12000000,EUR,12738854,Seed,1,"Seroba Life Sciences, Thuja Capital","BioGeneration Ventures, InnovationQuarter, Seroba Life Sciences, Thuja Capital",3,4,"14,968"
Seed Round - Chromodynamics,https://www.crunchbase.com/funding_round/chromodynamics-fd55-seed--37fa5f6c,Chromodynamics,https://www.crunchbase.com/organization/chromodynamics-fd55,Seed,"Eindhoven, Noord-Brabant, The Netherlands, Europe",2024-11-25,2000000,EUR,2091208,Seed,,,,Yes,Chromodynamics is a deep tech company creating a range of multispectral cameras.,"Biotechnology, Real Time",,https://www.chromodynamics.nl/,,2000000,EUR,2091208,Seed,1,KIKK Capital,KIKK Capital,1,1,"15,366"
Seed Round - uPATCH BV,https://www.crunchbase.com/funding_round/upatch-bv-seed--db116195,uPATCH BV,https://www.crunchbase.com/organization/upatch-bv,Seed,"Oegstgeest, Zuid-Holland, The Netherlands, Europe",2024-11-06,,,,Seed,,,,Yes,Applicators for microneedle arrays,"Health Care, Manufacturing, Medical",,https://upatch.nl/,,,,,Seed,1,Shaping Impact Group,Shaping Impact Group,1,1,"17,894"
Seed Round - Churned,https://www.crunchbase.com/funding_round/churned-seed--1cf3842e,Churned,https://www.crunchbase.com/organization/churned,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-09-10,2500000,EUR,2755082,Seed,,,,Yes,"Churned is a Data-driven customer success for SaaS, B2C & E-commerce.","E-Commerce, Information Technology, Internet, Machine Learning, Marketing, SaaS, Software",,https://www.churned.io/,,2500000,EUR,2755082,Seed,2,,"Goldfish Global, Newion, Volta Ventures",3,3,"18,637"
Pre Seed Round - YOM,https://www.crunchbase.com/funding_round/yom-cc25-pre-seed--e57d26cf,YOM,https://www.crunchbase.com/organization/yom-cc25,Pre-Seed,"Utrecht, Utrecht, The Netherlands, Europe",2024-06-25,550000,USD,550000,Seed,5500000,USD,5500000,Yes,world's 1st decentralized cloud gaming network on-demand cross-platform games @ 10x lower costs,"Cloud Computing, Decentralized Finance (DeFi), Gamification, Gaming, Information Technology, Metaverse, Online Games, Video Games, Video Streaming, Web3",,https://yom.net,,550000,USD,550000,Seed,1,Outlier Ventures,"Borderless Capital, Outlier Ventures",1,2,"19,679"
Seed Round - Hypherdata,https://www.crunchbase.com/funding_round/scienticore-seed--c5a341d6,Hypherdata,https://www.crunchbase.com/organization/scienticore,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-08-27,21000000,CZK,938535,Seed,,,,Yes,Hypherdata offers a B2B closed data marketplace for life science that provides access to providers of health data and AI services.,"Artificial Intelligence (AI), Big Data, Data Visualization, Health Diagnostics, Information Technology, Life Science, Machine Learning, Personal Health",,https://www.hypherdata.com/,$1M to $10M,2036337,USD,2036337,Seed,5,,"CB ESPRi, N1",,2,"20,061"
Seed Round - Keiron,https://www.crunchbase.com/funding_round/keiron-seed--c0aa3ba0,Keiron,https://www.crunchbase.com/organization/keiron,Seed,"Eindhoven, Noord-Brabant, The Netherlands, Europe",2025-02-18,1500000,EUR,1567229,Seed,,,,Yes,"Keiron provides fully digital, contactless printing technology that replaces traditional stencil and jet printing technologies.","Manufacturing, Printing, Product Design",,https://keirontechnologies.com,$1M to $10M,1500000,EUR,1567229,Seed,1,Cottonwood Technology Fund,Cottonwood Technology Fund,,1,"21,188"
Pre Seed Round - CityLegends,https://www.crunchbase.com/funding_round/citylegends-pre-seed--eda83de1,CityLegends,https://www.crunchbase.com/organization/citylegends,Pre-Seed,"Eindhoven, Noord-Brabant, The Netherlands, Europe",2023-11-23,1400000,EUR,1526634,Seed,,,,Yes,"CityLegends is a street culture platform where 200M athletes explore the streets, compete the world and inspire 2B fans.","Consulting, Digital Media, Lifestyle, Social Network, Sports",,https://www.citylegends.io,$1M to $10M,2000000,EUR,2233162,Seed,3,,"Dutch Sport Tech Fund, imec.istart, LeanSquare, LUMO labs, Matthias De Clercq",2,5,"21,766"
Seed Round - VaultN,https://www.crunchbase.com/funding_round/vaultn-seed--4aa9de3d,VaultN,https://www.crunchbase.com/organization/vaultn,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-05-14,1600000,USD,1600000,Seed,,,,Yes,Smart Distribution Platform,"Console Games, IaaS, Internet, Mobile Apps, Online Games, PaaS, PC Games, SaaS, Video Games",,https://www.vaultn.com,$1M to $10M,1600000,USD,1600000,Seed,1,,"PixCapital, uBIT",2,2,"22,863"
Seed Round - Councyl,https://www.crunchbase.com/funding_round/councyl-seed--c63fe9f8,Councyl,https://www.crunchbase.com/organization/councyl,Seed,"Delft, Zuid-Holland, The Netherlands, Europe",2023-12-05,350000,USD,350000,Seed,,,,Yes,Councyl provides an AI technology that speeds up and improves decision-making.,"Artificial Intelligence (AI), Information Technology, Internet",,https://councyl.ai/en/councyl-makes-decision-support-available-for-your-organisations/,Less than $1M,350000,USD,350000,Seed,1,UNIIQ,UNIIQ,,1,"24,766"
Seed Round - Deftpower,https://www.crunchbase.com/funding_round/deftpower-seed--a9af605e,Deftpower,https://www.crunchbase.com/organization/deftpower,Seed,"Apeldoorn, Gelderland, The Netherlands, Europe",2024-01-25,,,,Seed,,,,Yes,Deftpower is an automotive charging platform.,"Apps, CRM, SaaS",,https://www.deftpower.com/,,,,,Seed,4,4impact,"4impact, Cosmic Cat Group, Koolen Industries, Proeza Ventures, Rethink Ventures, Twickelborg",1,6,"25,092"
Seed Round - LoopingOne,https://www.crunchbase.com/funding_round/loopingone-seed--ebb015f2,LoopingOne,https://www.crunchbase.com/organization/loopingone,Seed,"Amsterdam, Noord-Holland, The Netherlands, Europe",2024-07-01,800000,EUR,858936,Seed,12000000,EUR,12884038,Yes,LoopingOne is a payments platform for marketplaces.,Marketplace,,http://www.LoopingOne.com,,3600000,EUR,3855787,Seed,3,,Venturerock,,1,"25,395"
