Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Angel Round - Rentiva,https://www.crunchbase.com/funding_round/rentiva-angel--029a1a30,Rentiva,https://www.crunchbase.com/organization/rentiva,Angel,2021-04-21,280000,USD,280000,,,"Ahmet Faralyalı, Ata Uzunhasan, Bertan Karaimer, Duygu Acar Yücesoy, Erman Kumcu, Galata Business Angels, Güngör Köprülü, Halis Petrol, Keiretsu Forum Turkey, Mustafa Atilla, Mustafa Demirkol, Onur Ergönen, Orhan Veli Cetin, Ömer Yiğit Aykan, Ümit Karaarslan","8,310",,,,Seed,Rentiva is a person to person car rental platform.,"Automotive, Car Sharing, Rental","Sisli, Istanbul, Turkey, Europe",https://rentiva.com/,Less than $1M,809053,USD,809053,Seed,3,15,1,Yes,
Angel Round - Seep,https://www.crunchbase.com/funding_round/seep-f5fe-angel--5029347d,Seep,https://www.crunchbase.com/organization/seep-f5fe,Angel,2025-01-30,50000,GBP,62115,,,Deborah Meaden,"10,444",,,,Seed,"Zero plastic, high-quality, natural cleaning tools for a cleaner home, a healthier planet and happier humans.","Cleaning Products, E-Commerce, Home and Garden, Retail","London, England, United Kingdom, Europe",https://theseepcompany.com/,$1M to $10M,800000,GBP,975706,Seed,2,1,,Yes,
Angel Round - Terappin,https://www.crunchbase.com/funding_round/terappin-angel--9755e01c,Terappin,https://www.crunchbase.com/organization/terappin,Angel,2024-01-04,496380,USD,496380,,Ayberk Kalkavan,Ayberk Kalkavan,"17,650",,,,Seed,"Terappin is a mental health care application that offers online therapy for adult psychology, test anxiety, stress, and depression.","Health Care, Medical, Psychology, Therapeutics, Wellness","Istanbul, Istanbul, Turkey, Europe",https://terappin.com/,$1M to $10M,1896380,USD,1896380,Seed,3,1,,Yes,
Angel Round - UMNAI,https://www.crunchbase.com/funding_round/umnai-angel--3cc42cbf,UMNAI,https://www.crunchbase.com/organization/umnai,Angel,2025-01-31,1000000,EUR,1036150,,Andreas Mihalovits,Andreas Mihalovits,"21,702",,,,Seed,UMNAI specializes in neuro-symbolic machine learning and artificial intelligence and have created Hybrid Intelligence products.,"Artificial Intelligence (AI), Machine Learning","London, England, United Kingdom, Europe",http://umnai.com,$1M to $10M,4375000,EUR,4957779,Seed,5,1,,Yes,
Angel Round - Varsapp,https://www.crunchbase.com/funding_round/varsapp-angel--f64a7103,Varsapp,https://www.crunchbase.com/organization/varsapp,Angel,2022-09-05,1200000,TRY,65870,Women Founded,"Murat Aksöz, ŞirketOrtağım","216 Capital, Cagatay Aynur, Doruk Özcan, Kadir Gülçin, Murat Aksöz, Ural İnal, ŞirketOrtağım","30,406",,,,Seed,Varsapp is an person-to-person online rental platform that allows users to rent out unused items to others.,"E-Commerce, E-Commerce Platforms, Marketplace, Online Portals, PropTech, Rental","Besiktas, Istanbul, Turkey, Europe",https://www.varsapp.com,$1M to $10M,265870,USD,265870,Seed,3,7,1,Yes,
Angel Round - moveo,https://www.crunchbase.com/funding_round/moveo-6cdf-angel--1a85418a,moveo,https://www.crunchbase.com/organization/moveo-6cdf,Angel,2024-02-01,170000,EUR,184864,,,,"35,124",,,,Seed,moveo is a personalized health platform and an app that tracks neurological health.,"Apps, Diabetes, Health Care, Medical Device","Belgrade, Vojvodina, Serbia, Europe",https://divstechnology.com,$1M to $10M,345000,EUR,359021,Seed,2,,,Yes,
Angel Round - Gekko Photonics,https://www.crunchbase.com/funding_round/gekko-photonics-angel--43f4e08f,Gekko Photonics,https://www.crunchbase.com/organization/gekko-photonics,Angel,2024-01-01,100000,USD,100000,,,,"48,322",,,,Seed,European developer of innovative photonics,"Chemical, Chemical Engineering, Cosmetics, Food Processing, Health Diagnostics, Industrial Engineering, Quality Assurance","Wroclaw, Dolnoslaskie, Poland, Europe",https://www.gekkophotonics.com,,1850000,USD,1850000,Seed,9,,,Yes,
Angel Round - Reby,https://www.crunchbase.com/funding_round/reby-angel--88d5ae17,Reby,https://www.crunchbase.com/organization/reby,Angel,2019-05-25,,,,,,"500 Global, Alex Zubillaga, Click Ventures, Day One Ventures, Exor Ventures, Fuel Capital, Hard Yaka, Hongji Bike, Lanai Partners, Neo, Simon Rothman","59,974",,,,Seed,"Reby manufactures its own vehicles, eschewing Chinese-made scooters.","CleanTech, Electric Vehicle, Last Mile Transportation, Rental, Ride Sharing, Transportation","Barcelona, Catalonia, Spain, Europe",https://reby.co,$10M to $50M,17944720,USD,17944720,M&A,3,11,8,Yes,
Angel Round - StoriMake,https://www.crunchbase.com/funding_round/storimake-angel--ab4f5251,StoriMake,https://www.crunchbase.com/organization/storimake,Angel,2023-09-13,875000,EUR,939133,,,"Chiqui Calleja, Jacob Benbunan, José Manuel Olea, Pedro Guerrero","67,703",,,,Seed,StoriMake is a mobile-first platform making video storytelling accesible to everyone.,"Internet, Internet of Things, Marketing, Mobile Apps, Video Advertising, Video on Demand","Madrid, Madrid, Spain, Europe",https://storimake.com,Less than $1M,1422000,EUR,1559993,Seed,3,4,,Yes,
Angel Round - ÅBN,https://www.crunchbase.com/funding_round/åbn-angel--0efb94e6,ÅBN,https://www.crunchbase.com/organization/åbn,Angel,2023-11-01,600000,DKK,85094,,,,"72,425",930000,DKK,131896,Seed,Saas Indoor climate solutions,"EdTech, Heating, Ventilation, and Air Conditioning (HVAC), Internet of Things","Valby, Hovedstaden, Denmark, Europe",https://aabn.io/,,2100000,DKK,305184,Seed,3,,,Yes,
