Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Oura,https://www.crunchbase.com/organization/Ōura,Active,,"Health Care, Mobile Apps, Wearables","Oulu, Oulu, Finland",Oura designs and develops wearable rings that track sleep and performance metrics for health and wellness monitoring.,56,"European Union (EU), Nordic Countries, Scandinavia",90590,$100M to $500M,2013-01-01,year,,,,,For Profit,http://ouraring.com,https://twitter.com/ouraring,https://www.facebook.com/ouraring,https://www.linkedin.com/company/oura,"Oura develops a smart ring that collects data on various biometrics to support health and wellness. The device tracks sleep, readiness, and activity levels, which users can monitor through the Oura app. It employs sensors to measure heart rate, sleep cycles, and overall activity. The company operates in the health and wellness industry.","Apps, Consumer Electronics, Hardware, Health Care, Mobile, Software",2,251-500,"Markku Koskela, Petteri Lahtela",10,Late Stage Venture,2024-11-19,200000000,USD,200000000,Series D,200000000,USD,200000000,Series D,348300000,USD,348300000,348300000,USD,348300000,"Temasek Holdings, Alumni Ventures, Forerunner, Fidelity, Lifeline Ventures",12,50,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,2
IXI,https://www.crunchbase.com/organization/pixieray,Active,,Eyewear,"Espoo, Southern Finland, Finland","IXI is redefining vision correction with the world’s first adaptive eyewear, providing seamless clarity wherever you look.",320,"European Union (EU), Nordic Countries, Scandinavia",,,2021-06-01,month,,,,,For Profit,https://ixieyewear.com/,,,https://www.linkedin.com/company/ixieyewear/,"IXI was founded in 2021 in Espoo, Finland, with a simple premise: to create eyewear that provides optimal vision in every situation. Using cutting-edge technology, IXI glasses intelligently adapt to your eye movements, automatically focusing to help you see more—sharper—all within beautifully designed frames. Their first-generation product is currently in development, with more details to follow closer to launch. Sign up for early access here: https://ixieyewear.com",Consumer Goods,4,51-100,"Klaus Melakari, Niko Eiden, Rebecca Xu, Ville Miettinen",6,Early Stage Venture,2025-04-28,36500000,USD,36500000,Series A,36500000,USD,36500000,Series A,40900000,USD,40900000,40900000,USD,40900000,"Firstminute Capital, Heartcore Capital, Maki.vc, FOV Ventures, Amazon Alexa Fund",4,18,,,,,,,,,,,,,,Private,,,,,,,,,,,
IQM Quantum Computers,https://www.crunchbase.com/organization/iqm,Active,,"Computer, Hardware, Product Design, Quantum Computing","Espoo, Southern Finland, Finland","IQM builds quantum computers, focusing on superconducting technology.","1,311","European Union (EU), Nordic Countries, Scandinavia",021305,$50M to $100M,2018-04-28,day,,,,,For Profit,https://www.meetiqm.com/,https://twitter.com/meetIQM,,https://www.linkedin.com/company/iqm-finland/,"IQM is the pan-European leader in building quantum computers.  IQM delivers on-premises quantum computers for supercomputing data centres and research labs and offers full access to its hardware. For industrial customers, IQM delivers a quantum advantage through a unique application-specific, co-design approach. IQM is building Finland’s first commercial 54-qubit quantum computer with VTT, and an IQM-led consortium (Q-Exa) is also building a quantum computer in Germany. This computer will be integrated into an HPC supercomputer to create a quantum accelerator for future scientific research. IQM has over 190+ employees with offices in Paris, Madrid, Munich, and Espoo.","Consumer Electronics, Design, Hardware, Science and Engineering",4,251-500,"Jan Goetz, Juha Vartiainen, Kuan Yen Tan, Mikko Möttönen",8,Early Stage Venture,2024-02-28,,,,Grant,128000000,EUR,130713615,Series A,193450000,EUR,206520480,233750000,EUR,249121255,"European Investment Bank, Tencent, OurCrowd, European Innovation Council, Vsquared Ventures",6,20,,,,,,,,,,,,,,Private,,,,,,,,,,,
Carbo Culture,https://www.crunchbase.com/organization/carbo-culture,Active,,"Environmental Engineering, Sustainability","Helsinki, Southern Finland, Finland",A biochar technology and project developer. The most scalable solution for industry & carbon removal,"6,265","European Union (EU), Nordic Countries, Scandinavia",00180,$1M to $10M,2016-08-15,day,,,,,For Profit,http://carboculture.com/,https://www.twitter.com/carboculture,,https://www.linkedin.com/company/carbo-culture,"Plants draw down CO2 from the atmosphere via photosynthesis and solar power at unbeatable efficiency. We take waste biomass and transform it using our patented reactors, permanently storing the carbon in an inert, solid form called biochar. Our unique process produces high-quality biochar for agricultural and construction applications, generates renewable energy, and creates some of the most tangible carbon credits on the market.","Science and Engineering, Sustainability",3,11-50,"Christopher Carstens, Pia Henrietta Kekäläinen, Sam Van Wesenbeeck",6,Early Stage Venture,2023-11-28,18000000,USD,18000000,Series A,18000000,USD,18000000,Series A,24874346,USD,24874346,27465324,USD,27465324,"Alumni Ventures, Cherry Ventures, Lifeline Ventures, True Ventures, European Innovation Council",7,20,,,,,,,,,,,,,,Private,,,,,,,,,,,
Onego Bio,https://www.crunchbase.com/organization/onego-bio,Active,,"Biotechnology, Food and Beverage, Manufacturing","Helsinki, Southern Finland, Finland",Onego Bio is a food-based biotechnology company that produces animal-free egg white protein through precision fermentation.,"9,154","European Union (EU), Nordic Countries, Scandinavia",00560,$1M to $10M,2022-02-01,month,,,,,For Profit,https://www.onego.bio,https://twitter.com/Onego_Bio,https://m.facebook.com/onegobio,https://www.linkedin.com/company/onego-bio,"Onego Bio is a food-based biotechnology company that produces animal-free egg white protein through precision fermentation. Their ingredient, Bioalbumen, sets a new standard for sustainable protein with identical taste and nutrition, superior functional properties, and over 90% smaller environmental footprint compared to eggs from chickens. Onego’s highly productive and scalable technology caters to the needs of the food industry searching for stable, sustainable functional ingredients. As a game-changer in the field, the company was selected as the Winner of Fast Company’s 2023 World Changing Ideas awards and is a co-founder of two industry associations: Precision Fermentation Alliance and Food Fermentation Europe.","Biotechnology, Food and Beverage, Manufacturing, Science and Engineering",2,11-50,"Chris Landowski, Maija Itkonen",6,,2024-07-15,14000000,EUR,15257525,Venture - Series Unknown,14000000,EUR,15257525,Venture - Series Unknown,56586531,USD,56586531,71085622,USD,71085622,"Maki.vc, Tesi, Business Finland, NordicNinja VC, EIT Food",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
Hoxhunt,https://www.crunchbase.com/organization/hoxhunt,Active,,"Computer, Cyber Security, Network Security","Espoo, Southern Finland, Finland",HoxHunt provides cybersecurity training services.,"10,673","European Union (EU), Nordic Countries, Scandinavia",00180,$10M to $50M,2016-01-01,year,,,,,For Profit,https://www.hoxhunt.com,https://twitter.com/hoxhunt,https://www.facebook.com/hoxhunt,https://www.linkedin.com/company/hoxhunt,"HoxHunt offers to reduce human risk. Their services include the consumer businesses, manufacturing industries, internet services, consultancies, banks, financials, casinos, and gaming industries. Their managed service model is based on cognitive automation and human touch to deliver individualized adaptive training.","Consumer Electronics, Hardware, Information Technology, Privacy and Security",2,101-250,"Mika Aalto, Pyry Åvist",3,Early Stage Venture,2022-05-31,40000000,USD,40000000,Series B,40000000,USD,40000000,Series B,43265705,USD,43265705,43265705,USD,43265705,"Level Equity Management, Dawn Capital, Icebreaker.vc, First Fellow Partners",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Steady Energy,https://www.crunchbase.com/organization/steady-energy,Active,,Renewable Energy,"Helsinki, Southern Finland, Finland",Steady Energy aims to decarbonize the energy-intensive heating industry starting with residential and district heating.,"12,094","European Union (EU), Nordic Countries, Scandinavia",,,2023-01-01,year,,,,,For Profit,https://www.steadyenergy.com/,,,https://www.linkedin.com/company/steady-energy/,Steady Energy aims to decarbonize the energy-intensive heating industry starting with residential and district heating.,"Energy, Sustainability",3,11-50,"Hannes Haapalahti, Petteri Tenhunen, Tommi Nyman",3,Early Stage Venture,2025-03-05,22000000,EUR,23747405,Series B,22000000,EUR,23747405,Series B,34000000,EUR,36801017,34000000,EUR,36801017,"Lifeline Ventures, VTT Technical Research Centre of Finland, Yes VC, 92 Ventures",4,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
P2X Solutions,https://www.crunchbase.com/organization/p2x-solutions,Active,,"Energy, Manufacturing","Helsinki, Southern Finland, Finland",P2X Solutions is a producer of green hydrogen and a pioneer in power-to-x technology.,"12,960","European Union (EU), Nordic Countries, Scandinavia",00210,$1M to $10M,2020-01-01,year,2024-04-12,day,,,For Profit,https://p2x.fi/en/,,,https://www.linkedin.com/company/p2x-solutions/,P2X Solutions is a producer of green hydrogen and a pioneer in power-to-x technology.,"Energy, Manufacturing",1,11-50,Herkko Plit,3,M&A,2021-12-20,13000000,EUR,14660342,Corporate Round,13000000,EUR,14660342,Corporate Round,15000000,EUR,17089522,15000000,EUR,17089522,"Lifeline Ventures, Finnish Climate Fund, Enersense, Marjo Miettinen",,4,,Was Acquired,P2X Solutions acquired by Alpiq Energia Italia,https://www.crunchbase.com/acquisition/alpiq-energia-italia-acquires-p2x-solutions--804eddc2,Alpiq Energia Italia,https://www.crunchbase.com/organization/alpiq-energia-italia,2024-04-12,day,47000000,EUR,50093259,Acquisition,,Private,,,,,,,,,,,
Capalo AI,https://www.crunchbase.com/organization/capalo-ai,Active,,Artificial Intelligence (AI),"Kuopio, Eastern Finland, Finland",Capalo AI offers a state-of-the-art Artificial Intelligence platform for the energy industry.,"13,194","European Union (EU), Nordic Countries, Scandinavia",70150,,2022-01-01,year,,,,,For Profit,https://www.capaloai.com,,,https://www.linkedin.com/company/capalo-ai,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",4,1-10,"Eerik Jauhiainen, Henri Taskinen, Riku Kukkonen, Teemu Lappalainen",2,Seed,2025-03-19,3800000,EUR,4158122,Seed,3800000,EUR,4158122,Seed,4300000,EUR,4689301,4300000,EUR,4689301,"VentureFriends, Innovestor, PROfounders Capital, Inventure",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
TactoTek,https://www.crunchbase.com/organization/tactotek,Active,,"3D Technology, Automotive, Electronics, Manufacturing, Product Design","Oulu, Oulu, Finland","TactoTek develops and licenses in-mold structural electronics (IMSE) technology, enabling the creation of interactive and smart products.","13,605","European Union (EU), Nordic Countries, Scandinavia",90460,$1M to $10M,2011-01-01,year,,,,,For Profit,https://www.tactotek.com,https://twitter.com/tactotek,https://www.facebook.com/tactotek,https://www.linkedin.com/company/tactotek-inc-,"TactoTek develops and licenses injection-molded structural electronics (IMSE®) technologies. Automotive, aviation, connected home, industrial control, and medical brands use TactoTek innovations to create next-generation user experiences that are compelling, differentiated, and more sustainable. Designers use TactoTek IP to integrate circuits and components directly into plastic parts, transforming conventional structures into smart interactive surfaces. TactoTek licenses its intellectual property, including over 280 patents and critical know-how developed over a decade of intensive R&D and quality testing, to global manufacturers who use reliable, standardized manufacturing processes to produce curved-shape and conformal electronics","Consumer Electronics, Design, Hardware, Manufacturing, Software, Transportation",2,101-250,"Antti Keränen, Mikko Heikkinen",12,,2025-01-09,5000000,EUR,5159197,Corporate Round,5000000,EUR,5159197,Corporate Round,152745554,USD,152745554,161145554,USD,161145554,"European Investment Bank, VTT Technical Research Centre of Finland, Forvia, Tesi, Business Finland",6,26,,,,,,,,,,,,,,Private,,,,,,,,,,,
