Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Pleo,https://www.crunchbase.com/organization/pleo-company,Active,,"Financial Services, FinTech, Information Technology, Mobile Payments, Payments","Copenhagen, Hovedstaden, Denmark",Pleo provides smart payment cards for employees to buy work-related products while giving employers control and oversight over the spending.,"2,038","European Union (EU), Nordic Countries, Scandinavia",2200,$100M to $500M,2015-03-01,month,,,,,For Profit,https://www.pleo.io,https://twitter.com/pleo,https://www.facebook.com/pleo.io,https://www.linkedin.com/company/pleo-company,"Behind Pleo is the core belief to make everyone feel valued at work, driven by the mission to revolutionize business spending for forward-thinking teams everywhere - so things like a fun-to-use spend management app that automatically tracks work-related spending & generates expense reports, paired with the powerful tools businesses need to create full visibility and management of every penny spent.  It was founded in 2015 by Jeppe Rindom and Niccolo Perra and is based in Copenhagen, Hovedstaden, Denmark.","Financial Services, Information Technology, Mobile, Payments, Software",2,501-1000,"Jeppe Rindom, Niccolo Perra",7,Late Stage Venture,2024-05-01,40000000,EUR,42871489,Debt Financing,200000000,USD,200000000,Series C,428059636,USD,428059636,470931125,USD,470931125,"Speedinvest, Coatue, Thrive Capital, Creandum, Bain Capital Ventures",9,12,,,,,,,,,,,,,,Private,,,,,,,,,,,2
Corti,https://www.crunchbase.com/organization/corti,Active,,"Artificial Intelligence (AI), Health Care, Machine Learning, Software, Speech Recognition","Copenhagen, Hovedstaden, Denmark",Corti is an AI company that offers healthcare solutions designed for patient consultations and clinical workflows.,"2,328","European Union (EU), Nordic Countries, Scandinavia",1434,$10M to $50M,2016-01-01,year,,,,,For Profit,https://www.corti.ai/,https://twitter.com/corti_ai,https://www.facebook.com/cortiai/,https://www.linkedin.com/company/corti,"Trusted by leading healthcare providers to enhance millions of patient interactions, with seamless integration into your workflow.","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",3,101-250,"Andreas Cleve Lohmann, Lars Maaløe, Michael Boesen",6,Early Stage Venture,2023-09-20,56000000,EUR,59639437,Series B,56000000,EUR,59639437,Series B,91619970,USD,91619970,93298417,USD,93298417,"Heartcore Capital, Atomico, Idinvest Partners, Prosus Ventures, Vaekstfonden",6,14,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Lunar,https://www.crunchbase.com/organization/lunar-bank,Active,,"Banking, Credit Cards, Debit Cards, Financial Services, FinTech","Aarhus, Midtjylland, Denmark",Lunar is a digital bank that offers a mobile-based banking app that helps consumers manage their personal finances.,"2,682","European Union (EU), Nordic Countries, Scandinavia",8000,$100M to $500M,2015-08-01,day,,,,,For Profit,http://www.lunar.app,https://twitter.com/lunarmoney,https://www.facebook.com/lunardanmark,https://www.linkedin.com/company/lunarbank,"Lunar is a digital challenger bank that offers a mobile-based banking app that helps consumers control their personal finances. It provides a range of financial services including insurance, savings, budgets, loans, and investments via a mobile application. The company also operates a banking license and launched a challenger bank providing free accounts and a subscription-based service called Lunar Premium. Lunar aims to roll out full personal and business banking operations and strive towards profitability in profitable banking markets. Up to date, the company has raised €104 million from investors including Seed Capital, Greyhound Capital, Socii Capital and Chr. Augustinus Fabrikker. It has offices in Aarhus, Copenhagen, Stockholm, and Oslo, with a headcount of more than 180 employees. The Copenhagen, Hovedstaden-based company was founded in 2015 by Ken Villum Klausen.","Financial Services, Lending and Investments, Payments",1,251-500,Ken Villum Klausen,11,,2024-04-30,24100000,EUR,25705241,Venture - Series Unknown,24100000,EUR,25705241,Venture - Series Unknown,513693462,USD,513693462,513693462,USD,513693462,"Tencent, Fuel Venture Capital, Seed Capital, Greyhound Capital, Kinnevik",3,17,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Podimo,https://www.crunchbase.com/organization/podimo,Active,,"Audio, Content, Digital Entertainment, Podcast","Copenhagen, Hovedstaden, Denmark",Podimo is an open podcast platform that offers a subscription service for creators.,"3,109","European Union (EU), Nordic Countries, Scandinavia",,$1M to $10M,2019-01-01,day,,,,,For Profit,https://podimo.com,https://twitter.com/podimo_global,https://www.facebook.com/podimoglobal,https://www.linkedin.com/company/podimo,Podimo is an audio entertainment subscription company that aims to create an ecosystem for podcasters by rewarding artists for creating content.,"Media and Entertainment, Music and Audio",4,251-500,"Eva Lægdsgaard, Morten Strunge, Nikolaj Koppel, Sverre Dueholm",7,,2023-12-21,44000000,EUR,48427909,Venture - Series Unknown,44000000,EUR,48427909,Venture - Series Unknown,204170000,EUR,221602140,204170000,EUR,221602140,"Headline, Heartcore Capital, Aldea Ventures, Highland Europe, Highland Capital Partners",6,11,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Teton,https://www.crunchbase.com/organization/teton-ai,Active,,"Artificial Intelligence (AI), Health Care, Information Technology, Software","Copenhagen, Hovedstaden, Denmark",Building the ultimate AI nurse companion,"3,307","European Union (EU), Nordic Countries, Scandinavia",,$1M to $10M,2020-01-01,year,,,,,For Profit,https://www.teton.ai/,,,https://www.linkedin.com/company/teton-ai/,"Teton is a Danish AI company in the healthcare sector. We develop cutting-edge deep learning and computer vision products to empower caregivers to do more with less. At Teton, we're revolutionizing the nursing experience. Our mission is to reignite nurses' passion for the art of patient care without the stress of being overworked or understaffed, the uncertainty of unpreparedness, or the burden of tedious administrative work. Write to us at hello@teton.ai!","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",2,11-50,"Esben Klint Thorius, Mikkel Wad Thorsen",4,,2024-06-01,2940000,EUR,3191812,Undisclosed,2940000,EUR,3191812,Undisclosed,10489000,EUR,11447431,10489000,EUR,11447431,"PSV, Plural Platform, Nebular, Finn Murphy",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
All Gravy,https://www.crunchbase.com/organization/butter-f7e2,Active,,"Business Development, Employee Benefits, Enterprise Resource Planning (ERP), Financial Services, FinTech, Productivity Tools","Copenhagen, Hovedstaden, Denmark","All Gravy offers an employee engagement platform, focusing on onboarding, wellness, communication, and shift management.","3,779","European Union (EU), Nordic Countries, Scandinavia",1608,$1M to $10M,2020-06-01,month,,,,,For Profit,https://www.allgravy.com,,,https://www.linkedin.com/company/allgravy,"All Gravy offers an employee app designed for frontline workers in the hospitality and retail sectors. The app provides services including pay processing, which allows employees to access their earnings quickly, and training management, which enables users to complete training modules on mobile devices. Additionally, the platform features communication tools that facilitate interaction among team members and scheduling features that help manage shifts and availability. Performance tracking is also included, allowing managers to monitor employee progress and engagement. Overall, All Gravy aims to improve the employee experience through its comprehensive suite of services.","Administrative Services, Financial Services, Health Care, Professional Services, Software",2,11-50,"Jonatan Marc Rasmussen, Kristian Lundager",4,Seed,2025-03-28,2600000,EUR,2827630,Seed,2600000,EUR,2827630,Seed,7282161,USD,7282161,7282161,USD,7282161,"Moonfire Ventures, Scale Capital, Vaekstfonden, The Nordic Web Ventures, Bradley Horowitz",2,28,,,,,,,,,,,,,,Private,,,,,,,,,,,
Veo,https://www.crunchbase.com/organization/veo-2,Active,,"Consumer Electronics, Software, Sports, Video","Copenhagen, Hovedstaden, Denmark",Veo is a solution for recording and watching sports without a cameraman.,"4,219","European Union (EU), Nordic Countries, Scandinavia",,$1M to $10M,2015-01-01,day,,,,,For Profit,https://www.veo.co/,https://twitter.com/veosharesport/,https://www.facebook.com/veo.co/,https://www.linkedin.com/company/veo-technologies/,"Veo is a solution for recording and watching sports without a cameraman. It only requires a minimal setup to be able to share your sport. Veo enables football clubs of all sizes to automatically record, edit, and stream their matches.","Consumer Electronics, Hardware, Media and Entertainment, Software, Sports, Video",1,51-100,Henrik Teisbæk,4,Late Stage Venture,2022-06-07,75000000,EUR,80229435,Series C,75000000,EUR,80229435,Series C,113284463,USD,113284463,113284463,USD,113284463,"Ventech, PSV, Courtside Ventures, Seed Capital, ATP",4,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Agreena,https://www.crunchbase.com/organization/agreena,Active,,"Agriculture, AgTech, GreenTech","Copenhagen, Hovedstaden, Denmark","Agreena is an AgTech startup that manufactures, verifies, and sells carbon credits.","4,284","European Union (EU), Nordic Countries, Scandinavia",1051,$10M to $50M,2018-01-01,year,,,,,For Profit,https://agreena.com,https://twitter.com/AgreenaApp,https://www.facebook.com/AgreenaApp,https://www.linkedin.com/company/agreena,"Agreena is the creator of a soil carbon platform with the goal of scaling regenerative agriculture through finance and technology. The company verifies, mints, and sells carbon credits generated by farmers, issues third-party verified carbon certificates, and develops software that uses ground-truth data, satellites, artificial intelligence, and deep tech to enable scalable detection of key metrics, including regenerative agriculture principles, providing clients with both finance and scientific technology solutions to accelerate the global transition to regenerative agriculture and allowing farmers to increase their yields.","Agriculture and Farming, Sustainability",2,101-250,"Ida Boesen, Julie Koch Fahler",3,Early Stage Venture,2023-03-30,46000000,EUR,50160459,Series B,46000000,EUR,50160459,Series B,77360459,USD,77360459,77360459,USD,77360459,"Giant Ventures, Anthemis, AENU, HV Capital, Vaekstfonden",4,9,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Sparrow Quantum,https://www.crunchbase.com/organization/sparrow-quantum,Active,,"Manufacturing, Quantum Computing, Semiconductor","Copenhagen, Hovedstaden, Denmark",Sparrow Quantum develope and commercializes photonic quantum chip technology.,"4,604","European Union (EU), Nordic Countries, Scandinavia",2100,$1M to $10M,2015-01-01,year,,,,,For Profit,http://sparrowquantum.com/,,,https://www.linkedin.com/company/sparrow-quantum/?originalSubdomain=in,"Sparrow Quantum Aps. is a Danish quantum technology company dedicated to advancing light-matter interfaces for quantum technologies. The company specializes in developing deterministic single-photon sources, which are critical to the success of many quantum technologies. With the best on-chip single-photon source efficiency in the world, unmatched in photon purity, indistinguishability, and outcoupling, Sparrow is at the forefront of innovation in the field. The company's technology results from over two decades of pioneering research at the prestigious Niels Bohr Institute (NBI) in Copenhagen, Denmark, and Sparrow Quantum has an exclusive license to key patents from the institute.  For more information about Sparrow Quantum, please visit www.sparrowquantum.com","Hardware, Manufacturing, Science and Engineering",4,11-50,"Niels Hersoug, Peter Lodahl, Soren Kenner, Søren Stobbe",5,Early Stage Venture,2025-04-10,21500000,EUR,24209449,Series A,21500000,EUR,24209449,Series A,31174172,USD,31174172,34072659,USD,34072659,"Novo Holdings, European Innovation Council, European Commission, 2xN, Export and Investment Fund",5,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
Coana (acquired by Socket),https://www.crunchbase.com/organization/coana,Active,,"Enterprise Software, Open Source, Security","Aarhus, Midtjylland, Denmark","Coana uses advanced reachability analysis to scan for vulnerabilities in open source dependencies, cutting false positives by over 80%.","4,693","European Union (EU), Nordic Countries, Scandinavia",,,2022-09-02,day,2025-04-23,day,,,For Profit,https://coana.tech,,,https://www.linkedin.com/company/coana-tech/,"Coana helps software teams tackle the flood of alerts from traditional SCA tools. By using advanced reachability analysis, Coana cuts false alerts by over 80%, freeing up significant engineering time without sacrificing security. Coana is developed by leading program analysis researchers and is backed by Sequoia Capital and Essence VC.","Privacy and Security, Software",4,11-50,"Anders Møller, Anders Søndergaard, Benjamin Barslev Nielsen, Martin Torp",4,M&A,2024-01-23,1600000,USD,1600000,Pre-Seed,1600000,USD,1600000,Pre-Seed,1600000,USD,1600000,2070000,USD,2070000,"Sequoia Capital, European Research Council, Essence VC, Innovation Fund Denmark, Kamal Shah",1,11,,Was Acquired,Coana (acquired by Socket) acquired by Socket,https://www.crunchbase.com/acquisition/socket-741b-acquires-coana--f8039182,Socket,https://www.crunchbase.com/organization/socket-741b,2025-04-23,day,,,,Acquisition,,Private,,,,,,,,,,,
