Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Pennylane,https://www.crunchbase.com/organization/pennylane,Active,,"Accounting, Finance, Financial Services, FinTech, Software","Paris, Ile-de-France, France","Pennylane offers a platform integrating accounting software and financial tools, centralizing data for business-accountant collaboration.",596,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2020-01-01,year,,,,,For Profit,https://www.pennylane.com,https://twitter.com/Pennylane_tech,https://www.facebook.com/pennylane.tech,https://www.linkedin.com/company/pennylaneaccounting,"Pennylane is a developer of a full-stack financial management platform used to deal with financial data. Centralizing all the data that was fragmented in the past, this platform enables business managers to get a real-time view of their financial data and make the right decisions. The company enables business leaders to access their complete, and up-to-date financial data at any time.","Financial Services, Professional Services, Software",7,501-1000,"Alexandre Roquoplo, Arthur Waller, Edouard Mascré, Félix Blossier, Quentin de Metz, Tancrède Besnard, Thierry Deo",6,,2025-04-06,75000000,EUR,82445850,Venture - Series Unknown,75000000,EUR,82445850,Venture - Series Unknown,213500000,EUR,236945219,213500000,EUR,236945219,"Sequoia Capital, Partech, DST Global, Kima Ventures, Global Founders Capital",6,11,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Beyond Aero,https://www.crunchbase.com/organization/beyond-aero,Active,,"Aerospace, Air Transportation, Manufacturing","Toulouse, Midi-Pyrenees, France",Aviation will be electric. Unlocking full potential with hydrogen.,"1,356","European Union (EU), Europe, Middle East, and Africa (EMEA)",31100,,2020-12-07,day,,,,,For Profit,https://www.beyond-aero.com,https://twitter.com/beyond_aero,,https://www.linkedin.com/company/beyondaero,"Beyond Aero is building the first electric business aircraft powered by hydrogen propulsion, enabling six passengers to fly up to 800 NM (1,500 km)—five times farther than a battery-powered aircraft. Founded in December 2020, the company is redesigning the architecture of a CS23 aircraft around hydrogen-electric propulsion, focusing on fuel cell technology, hydrogen tank integration, and advanced cooling systems. With offices in Toulouse, Paris, and Los Angeles, the startup boasts a team of over 50 highly qualified engineers from leading aerospace companies, actively recruiting 40 more. Beyond Aero has raised more than $44 million, with investors including Giant Ventures, Bpifrance, Initialized Capital, Female Funders Found, and 7 Pourcent Ventures. Beyond Aero also completed Y Combinator in 2022. The company has secured $914 million in Letters of Intent (LOIs) for 108 aircraft and recently completed France's first manned, fully hydrogen-electric flight. Beyond Aero is a member of the World Economic Forum's First Movers Coalition and the Alliance for Zero Emission Aviation, underscoring its commitment to electrify aviation with hydrogen propulsion.","Manufacturing, Science and Engineering, Transportation",3,11-50,"Eloa Guillotin, Hugo Tarlé, Valentin Chomel",3,Early Stage Venture,2024-10-25,20000000,USD,20000000,Series A,20000000,USD,20000000,Series A,20000000,USD,20000000,20000000,USD,20000000,"Y Combinator, Bpifrance, Giant Ventures, 7percent Ventures, Initialized Capital",2,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
Chipiron,https://www.crunchbase.com/organization/chipiron,Active,,"Emergency Medicine, Health Care, Health Diagnostics, Home Health Care, Manufacturing, Medical, Medical Device, Personal Health","Paris, Ile-de-France, France","Chipiron is a company that designs, manufactures, and markets a new generation of portable, inexpensive and powerful MRI machines.","1,390","European Union (EU), Europe, Middle East, and Africa (EMEA)",75019,,2020-09-01,month,,,,,For Profit,https://www.chipiron.co,https://twitter.com/chipiron_mri,https://www.facebook.com/chipiron.co,https://www.linkedin.com/company/chipiron,"Leveraging cutting-edge quantum detectors, we design light, portable, and performing MRI machines working at ultra-low magnetic fields for a tenth of current prices.","Health Care, Manufacturing",2,11-50,"Dimitri Labat, Evan Kervella",9,Early Stage Venture,2025-04-30,17000000,USD,17000000,Series A,17000000,USD,17000000,Series A,20900000,USD,20900000,25805576,USD,25805576,"Bpifrance, European Innovation Council, Entrepreneurs First, Exor Ventures, France 2030",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
Swan,https://www.crunchbase.com/organization/swan,Active,,"Banking, Financial Services, FinTech","Paris, Ile-de-France, France",Swan is a banking service platform that enables businesses to integrate embedded finance platform that integrates banking services.,"1,485","European Union (EU), Europe, Middle East, and Africa (EMEA)",75010,$10M to $50M,2019-01-01,month,,,,,For Profit,https://swan.io,https://twitter.com/swanapi,,https://www.linkedin.com/company/swan-baas,"Swan is a European fintech and innovation leader in embedded finance. Swan’s Banking-as-a-Service (BaaS) is the easiest way for companies to embed banking features. Via Swan’s simple APIs, European companies can integrate banking services (accounts, cards, and payments) quickly and easily into their own product. Founded in 2019, the fintech processes over 200 million euros of transactions per month, for 60+ companies across ten European countries. Swan has over 100 employees and is led by fintech experts and experienced entrepreneurs: Nicolas Benady, Nicolas Saison and Mathieu Breton. The company was founded together with the startup studio eFounders and has received growth capital from leading VC investors such as Creandum and Accel. Swan is a Mastercard principal member and a licensed financial institution, regulated by the ACPR.","Financial Services, Lending and Investments",3,101-250,"Mathieu Breton, Nicolas Benady, Nicolas Saison",5,Early Stage Venture,2025-01-29,42000000,EUR,43847423,Series B,42000000,EUR,43847423,Series B,100000000,EUR,108178285,100000000,EUR,108178285,"Bpifrance, Accel, Creandum, Lakestar, Hexa",4,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
Dfns,https://www.crunchbase.com/organization/xkey,Active,,"Blockchain, Cryptocurrency, FinTech, Payments, SaaS","Paris, Ile-de-France, France",Dfns provides a Wallets-as-a-Service (WaaS) platform to help companies manage digital assets on blockchains.,"1,698","European Union (EU), Europe, Middle East, and Africa (EMEA)",75013,$1M to $10M,2020-08-01,month,,,,,For Profit,https://www.dfns.co,https://twitter.com/dfnshq,,https://www.linkedin.com/company/dfnshq,"Dfns offers a wallets-as-a-service (WaaS) platform that enables businesses to efficiently manage digital assets while ensuring high levels of security. The platform integrates seamlessly with existing systems, allowing for secure user onboarding and streamlined transactions across multiple blockchains.","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,11-50,"Christopher Grilhault des Fontaines, Clarisse Hagege",3,Early Stage Venture,2024-12-18,16000000,USD,16000000,Series A,16000000,USD,16000000,Series A,30592408,USD,30592408,30592408,USD,30592408,"Bpifrance, Coinbase, ADQ, Techstars, Figment",3,27,,,,,,,,,,,,,,Private,,,,,,,,,,,
GitGuardian,https://www.crunchbase.com/organization/gitguardian,Active,,"Cloud Security, Computer, Cyber Security, DevOps, Software","Paris, Ile-de-France, France","GitGuardian is the code security platform for the DevOps generation, facilitating a Secure Software Development Lifecycle.","1,801","European Union (EU), Europe, Middle East, and Africa (EMEA)",75006,$10M to $50M,2017-11-27,day,,,,,For Profit,https://www.gitguardian.com,https://twitter.com/GitGuardian,https://www.facebook.com/GitGuardian/,https://www.linkedin.com/company/gitguardian,"GitGuardian leads the way in Non-Human Identity security, offering end-to-end solutions from secrets detection in code, productivity tools and environments to strong remediation, observability and proactive prevention of leaks. Our solutions are already used by more than 600K developers worldwide! GitGuardian Internal monitoring is the n°1 security app on the GitHub marketplace. GitGuardian helps organizations find exposed sensitive information that could lead to tens of millions of dollars in potential damage. We love wearing our Guardians’ cape, and helping each other achieve our high ambitions!","Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software",2,101-250,"Eric Fourrier, Jérémy Thomas",4,Early Stage Venture,2021-12-07,39000000,EUR,43964715,Series B,39000000,EUR,43964715,Series B,55964715,USD,55964715,55964715,USD,55964715,"Bpifrance, Sapphire Ventures, Fly Ventures, Kima Ventures, Balderton Capital",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,5
Tomorro,https://www.crunchbase.com/organization/leeway,Active,,"Artificial Intelligence (AI), Contact Management, E-Signature, Legal Tech, Productivity Tools, Software","Paris, Ile-de-France, France",Tomorro provides an AI-driven contract lifecycle management platform that automates contract processes.,"1,817","European Union (EU), Europe, Middle East, and Africa (EMEA)",75010,Less than $1M,2020-02-01,month,,,,,For Profit,https://tomorro.com,https://x.com/gotomorro,https://www.facebook.com/gotomorro,https://www.linkedin.com/company/gotomorro,"Tomorro is an AI-driven contract lifecycle management platform that automates the processes of contract creation, negotiation, and approval. The platform streamlines workflows for sales teams by providing tools that enhance efficiency and accuracy in contract management. It offers features such as automated document generation, real-time collaboration, and built-in compliance checks. Tomorro also includes an e-signature solution that facilitates the signing of contracts, ensuring a seamless experience for users. By integrating these functionalities, Tomorro aims to simplify the complexities of contract management for organizations.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software",3,101-250,"Antoine Fabre, Sebastien Decreme, Thibaut Caoudal",3,Early Stage Venture,2025-03-31,27000000,USD,27000000,Series B,27000000,USD,27000000,Series B,43068783,USD,43068783,43068783,USD,43068783,"XAnge, Kima Ventures, Acton Capital, Otium Capital, henQ",4,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
AQEMIA,https://www.crunchbase.com/organization/aqemia,Active,,"Artificial Intelligence (AI), Biotechnology, Life Science, Machine Learning, Pharmaceutical","Paris, Ile-de-France, France","Aqemia accelerates drug discovery using quantum physics and AI, generating novel drug candidates without experimental data.","1,843","European Union (EU), Europe, Middle East, and Africa (EMEA)",75 015,$10M to $50M,2019-06-13,day,,,,,For Profit,http://www.aqemia.com,https://x.com/aqemia,,https://www.linkedin.com/company/aqemia,"AQEMIA is a pharmatech company developing a drug discovery platform to discover new drugs for specific therapeutic targets. Its platform combines quantum-inspired physics and machine learning to scale the drug discovery process, generating a growing pipeline of new drug candidates.  The company utilizes advanced techniques, including generative AI and atomic scale physics, to design novel drugs tailored for specific therapeutic targets.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",2,101-250,"Emmanuelle Rolland-Martiano, Maximilien Levesque",6,Early Stage Venture,2025-04-01,7400000,USD,7400000,Grant,38000000,USD,38000000,Series A,102102027,USD,102102027,109502027,USD,109502027,"Bpifrance, Cathay Innovation, Eurazeo, Elaia, France 2030",6,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
WeeFin,https://www.crunchbase.com/organization/weefin,Active,,"Financial Services, FinTech, SaaS, Software","Neuilly-sur-seine, Ile-de-France, France",WeeFin is a fintech company that help financial institutions effectively manage and scale their sustainability and ESG strategies.,"1,884","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,year,,,,,For Profit,https://weefin.co,https://twitter.com/weefin_,,https://www.linkedin.com/company/weefin,"WeeFin centralizes ESG data, customizes strategy, and automates reporting processes. The platform reinforces a technological and transparent collaboration among the financial industry, allowing for better engagement in sustainability efforts. WeeFin provides a centralized ESG data management system that enables investors to streamline their reporting processes and compliance efficiently.","Financial Services, Software",3,101-250,"Grégoire Hug, Guillaume Klech, Marion Aubert",3,Early Stage Venture,2025-04-01,25000000,EUR,27070369,Series B,25000000,EUR,27070369,Series B,34000000,EUR,36860740,34000000,EUR,36860740,"Ring Capital, IRIS, BlackFin Capital Partners, Asterion Ventures, Investir&+",4,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Alice & Bob,https://www.crunchbase.com/organization/alice-bob,Active,,"Information Services, Information Technology, Quantum Computing","Paris, Ile-de-France, France","Alice&Bob build Universal, Error-free, Quantum Computers to help industries and researchers solve the hardest problems.","2,279","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2020-02-01,month,,,,,For Profit,https://alice-bob.com/,https://twitter.com/alice__bob,,https://www.linkedin.com/company/alice-bob/,"Alice&Bob build Universal, Error-free, Quantum Computers to help industries and researchers solve the hardest problems.","Information Technology, Science and Engineering",2,101-250,"Raphaël Lescanne, Théau Péronnin",8,Early Stage Venture,2025-01-28,100000000,EUR,104315969,Series B,100000000,EUR,104315969,Series B,137514613,USD,137514613,162561795,USD,162561795,"Bpifrance, BREEGA, Supernova Invest, European Innovation Council, AVP",7,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
