Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
beSirius,https://www.crunchbase.com/organization/sirius-technologies-7307,Active,,"Artificial Intelligence (AI), Information Services, Information Technology, Manufacturing, Mining, Sustainability","Amsterdam, Noord-Holland, The Netherlands",beSirius provides an AI-driven platform for managing sustainability data in industries.,224,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2022-10-18,day,,,,,For Profit,https://besirius.io,,,https://www.linkedin.com/company/besirius,"beSirius offers an AI-driven platform focused on sustainability management for the metals, mining, and heavy industries. The solution simplifies the collection and analysis of environmental, social, and governance (ESG) data, enabling companies to track their sustainability efforts effectively. By streamlining data sharing processes, beSirius helps teams save significant time in reporting and compliance activities. The platform is designed to enhance transparency and facilitate better decision-making regarding sustainability initiatives. Through its user-friendly interface, beSirius supports organizations in meeting their ESG obligations while fostering a culture of accountability and improvement in sustainability practices.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Natural Resources, Science and Engineering, Software, Sustainability",3,11-50,"Anastasia Kuskova, Sergey Tyan, Vsevolod Martynov",3,Seed,2025-04-15,3000000,EUR,3397320,Seed,3000000,EUR,3397320,Seed,4818796,USD,4818796,4818796,USD,4818796,"Techstars, NAP, BlackWood Ventures, Golden Egg Check Capital, Fund F",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Axelera AI,https://www.crunchbase.com/organization/axelera-ai,Active,,"Artificial Intelligence (AI), Machine Learning, Semiconductor, Software","Eindhoven, Noord-Brabant, The Netherlands",Axelera AI develops purpose-built AI hardware acceleration technology for computer vision and generative AI applications.,"1,615","European Union (EU), Europe, Middle East, and Africa (EMEA)",5656,,2021-01-01,year,,,,,For Profit,https://www.axelera.ai,https://twitter.com/AxeleraAI,https://www.facebook.com/profile.php?id=100083116423051,https://www.linkedin.com/company/axelera-ai,"Axelera AI is a company that delivers purpose-built hardware and software platforms designed to accelerate artificial intelligence tasks, particularly in edge computing. The company's flagship product, the Metis™ AI Platform, integrates both hardware and software components to deliver high-performance, energy-efficient AI inference solutions. This platform has been recognized for its innovation, notably being named a CES® 2024 Innovation Awards Honoree. Incubated in 2019 by the emerging technologies leader Bitfury and joined by the leading nano-technology group imec in early 2020, Axelera AI launched as a new company in 2021. Headquartered in the AI Innovation Center of the High Tech Campus in Eindhoven, Axelera AI has R&D offices in Belgium, Switzerland, and Italy. Its team of experts in AI software and hardware hail from top AI firms and Fortune 500 companies.","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,101-250,"Bram Verhoef, Evangelos Eleftheriou, Fabrizio Del Maffeo",6,Early Stage Venture,2025-03-06,61600000,EUR,66487496,Grant,68000000,USD,68000000,Series B,130000000,USD,130000000,203187496,USD,203187496,"CDP Venture Capital, Invest-NL, Verve Ventures, imec, European Innovation Council",5,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
Astrape Networks,https://www.crunchbase.com/organization/astrape-networks,Active,,"Optical Communication, Semiconductor, Telecommunications","Eindhoven, Noord-Brabant, The Netherlands","Astrape powers the future of datacenters: more bandwidth, less power.","3,193","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2022-01-01,year,,,,,For Profit,https://www.astrape.net/,,,https://www.linkedin.com/company/astrape-networks/,"Astrape powers the future of datacenters: more bandwidth, less power.","Hardware, Science and Engineering",,11-50,,5,Seed,2025-04-29,5400000,EUR,6152865,Seed,5400000,EUR,6152865,Seed,7000000,EUR,7873378,9500000,EUR,10721926,"Rabobank, European Innovation Council, PhotonVentures, SHIFT Invest, PhotonDelta",5,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Cradle,https://www.crunchbase.com/organization/cradle-0c4f,Active,,"Artificial Intelligence (AI), Biotechnology, Life Science, Product Research","Delft, Zuid-Holland, The Netherlands",Cradle is a biotech company that uses prediction algorithms and AI design recommendations to assist biologists in designing proteins.,"4,159","European Union (EU), Europe, Middle East, and Africa (EMEA)",2613 AX,$1M to $10M,2021-01-01,year,,,,,For Profit,https://cradle.bio,https://twitter.com/cradlebio,,https://www.linkedin.com/company/cradlebio,"Cradle is a biotech company that uses prediction algorithms and AI design recommendations to assist biologists in designing proteins. Cradle offers complete ownership of the intellectual property while maintaining the privacy and security of your sequences and data. Cradle offers a machine-learning platform that accelerates the development of new therapeutics and bio-based products like enzymes, antibodies, and chemicals. The platform is versatile, supporting various assets and use cases for both pharmaceutical and industrial applications, including enzymes, antibodies, peptides, vaccines, and therapeutic proteins.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Design, Science and Engineering, Software",2,11-50,"Elise de Reus, Stef van Grieken",3,Early Stage Venture,2024-11-26,73000000,USD,73000000,Series B,73000000,USD,73000000,Series B,102716388,USD,102716388,102716388,USD,102716388,"IVP, Index Ventures, Kindred Capital, Thomas Glocer, Chris Gibson",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Hivello,https://www.crunchbase.com/organization/hivello,Active,,"Information Technology, Internet of Things, Web3","Amsterdam, Noord-Holland, The Netherlands",Hivello is a DePIN aggregator that enables users to contribute resources and connect with various Web3 protocols.,"5,722","European Union (EU), Europe, Middle East, and Africa (EMEA)",1019,$1M to $10M,2022-01-01,year,,,,,For Profit,https://www.hivello.com/,,https://www.facebook.com/HivelloOfficial,https://www.linkedin.com/company/hivelloofficial,"Hivello is a DePIN aggregator that enables users to contribute resources and connect with various Web3 protocols. The company aims to eliminate technical barriers faced by users in participating in DePIN networks, making it easier for anyone to engage with these decentralized technologies.","Blockchain and Cryptocurrency, Information Technology, Internet Services",3,11-50,"Andrew Smith, Domenic Carosa, Justin Rosenberg",3,Seed,2025-02-09,,,,Seed,,,,Seed,2550000,USD,2550000,2550000,USD,2550000,"Blockchain Founders Fund, NGC Ventures, MEXC Global, Animoca Brands, IDG Capital",1,21,,,,,,,,,,,,,,Private,,,,,,,,,,,
QurieGen,https://www.crunchbase.com/organization/quriegen,Active,,"Analytics, Biotechnology, Test and Measurement","Nijmegen, Gelderland, The Netherlands",QurieGen is a biotechnology company that accelerates drug discovery and development.,"6,382","European Union (EU), Europe, Middle East, and Africa (EMEA)",6525 EC,$1M to $10M,2022-01-01,year,,,,,For Profit,https://quriegen.com,,,https://www.linkedin.com/company/quriegen,,"Biotechnology, Data and Analytics, Science and Engineering",1,1-10,Kinga Matuła,2,Seed,2025-04-08,2200000,EUR,2411752,Pre-Seed,2200000,EUR,2411752,Pre-Seed,2200000,EUR,2411752,2300000,EUR,2516808,"Tensor Ventures, BSV Ventures, Tim Draper, Lighthouse Ventures, Moondust Ventures",,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Stacks,https://www.crunchbase.com/organization/stacks-87ce,Active,,,"Amsterdam, Noord-Holland, The Netherlands","Stacks is an AI-powered workspace that shortens monthly financial close cycles, reduces accounting risk, and boosts accuracy.","7,212","European Union (EU), Europe, Middle East, and Africa (EMEA)",1017 DR,,2024-04-05,day,,,,,For Profit,https://stacks.ai,,,https://www.linkedin.com/company/stacks-ai/,,,1,11-50,Albert Malikov,2,Seed,2025-02-19,7000000,EUR,7315167,Seed,7000000,EUR,7315167,Seed,10000000,EUR,10450238,10000000,EUR,10450238,"General Catalyst, EQT Ventures, s16vc, Travis Foxhall, Mike Taylor",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Recall,https://www.crunchbase.com/organization/recall-190f,Active,,"Apps, Data Storage, Information Services, Online Portals, SEO","Amsterdam, Noord-Holland, The Netherlands",Recall is a software company that uses AI as a personal encyclopedia for knowledge management services.,"9,076","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2022-12-27,day,,,,,For Profit,http://getrecall.ai/,https://twitter.com/recall_wiki,,https://www.linkedin.com/company/getrecall-ai/,Recall uses AI to build your own personal knowledge graph from the content you consume so you can safely forget everything and trust that Recall will resurface it when it's needed.,"Apps, Hardware, Information Technology, Internet Services, Sales and Marketing, Software",,1-10,,2,Seed,2024-12-03,1500000,USD,1500000,Pre-Seed,1500000,USD,1500000,Pre-Seed,1500000,USD,1500000,1500000,USD,1500000,"LAUNCH, Rocket Capital, Blockchain Founders Capital, Jason Calacanis",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Carbon Equity,https://www.crunchbase.com/organization/carbon-equity,Active,,"Environmental Consulting, Financial Services","Amsterdam, Noord-Holland, The Netherlands",Carbon Equity is a climate investing platform for alternative investments.,"9,756","European Union (EU), Europe, Middle East, and Africa (EMEA)",1062,,2021-01-01,year,,,,,,https://carbonequity.com/,https://twitter.com/carbonequity,,https://www.linkedin.com/company/carbon-equity/,"Carbon Equity we believe there is no greater cause within our lifetime than fighting climate change. Fighting climate change requires action at every possible level – government regulation, taxation, changes in consumer and corporate behavior, paradigm shifts, cultural shifts and massive investments in technology to name but a few.","Financial Services, Professional Services",4,11-50,"Jacqueline van den Ende, Jeff Gomez, Lara Koole, Tim Molendijk",4,Early Stage Venture,2023-10-11,6000000,EUR,6374143,Series A,6000000,EUR,6374143,Series A,9000000,EUR,9583255,9000000,EUR,9583255,"AENU, Firstminute Capital, BlackFin Capital Partners, 4impact, SkyNRG",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Vivici,https://www.crunchbase.com/organization/vivici,Active,,"Dietary Supplements, Food and Beverage, Nutrition","Delft, Zuid-Holland, The Netherlands",Vivici is a B2B ingredient firm that provides animal-free dairy proteins manufactured with precision fermentations.,"10,294","European Union (EU), Europe, Middle East, and Africa (EMEA)",2613AX,$1M to $10M,2022-01-01,year,,,,,For Profit,https://www.vivici.com,,,,Vivici is a B2B ingredients firm that provides nutritious and sustainable animal-free dairy proteins manufactured with precision fermentation to food and beverage manufacturers.,"Food and Beverage, Health Care",,11-50,,2,Early Stage Venture,2025-02-25,32500000,EUR,34049419,Series A,32500000,EUR,34049419,Series A,32500000,EUR,34049419,32500000,EUR,34049419,"Invest-NL, InnovationQuarter, Fonterra Co-operative Group, APG Asset Management, DSM Venturing",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
