Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Naco,https://www.crunchbase.com/funding_round/naco-e10b-seed--4c2e0a19,Naco,https://www.crunchbase.com/organization/naco-e10b,Seed,"Riga, Riga, Latvia, Europe",2025-01-14,2500000,EUR,2576525,Seed,,,,Yes,Naco builds a manufacturing station to provide its clients with ready-to-use coated parts for hydrogen production.,"CleanTech, Manufacturing, Nanotechnology",,https://www.naco.tech,$1M to $10M,15200000,EUR,16489123,Seed,4,Radix Ventures,"Impact Ventures Hungary, KENDRIS Capital, Radix Ventures, The Untitled Venture Company",3,4,"8,136"
Seed Round - Jeff,https://www.crunchbase.com/funding_round/jeff-e713-seed--2a079ae9,Jeff,https://www.crunchbase.com/organization/jeff-e713,Seed,"Riga, Riga, Latvia, Europe",2024-07-17,2000000,USD,2000000,Seed,,,,Yes,"Jeff is a broker of personalized loan products, connecting borrowers and lending institutions.","Financial Services, FinTech, Lending",,https://www.jeff-app.com/,$1M to $10M,4866889,USD,4866889,Seed,5,Presto Ventures,"bd Partners, iSeed, J12, James Berdigans, Jean-Pascal Duvieusart, Ladislav Bartonicek, Presto Ventures",1,7,"16,104"
Angel Round - RivalSense,https://www.crunchbase.com/funding_round/rivalsense-angel--4019ad12,RivalSense,https://www.crunchbase.com/organization/rivalsense,Angel,"Riga, Riga, Latvia, Europe",2024-06-05,,,,Seed,,,,Yes,"RivalSense is an AI-powered competitive intelligence tool that helps businesses monitor any company, providing crisp weekly insights.","Analytics, B2B, Business Intelligence, Machine Learning, Market Research, SaaS",,https://rivalsense.co/,,,,,Seed,1,Change Ventures,"Change Ventures, Fiedler Capital",1,2,"22,500"
Pre Seed Round - Dosty,https://www.crunchbase.com/funding_round/dosty-pre-seed--b00da8c9,Dosty,https://www.crunchbase.com/organization/dosty,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-12-20,50000,USD,50000,Seed,,,,Yes,Complete Petcare Solution,"Mobile Apps, Pet, Software",,https://dosty.co/,Less than $1M,50000,USD,50000,Seed,1,Caucasus Ventures,Caucasus Ventures,,1,"23,138"
Seed Round - Blue Shock Race,https://www.crunchbase.com/funding_round/blue-shock-race-seed--7e7c22a5,Blue Shock Race,https://www.crunchbase.com/organization/blue-shock-race,Seed,"Liepaja, Liepaja, Latvia, Europe",2024-08-01,500000,EUR,539325,Seed,18000000,EUR,19415695,Yes,"BSR is the Ultimate Performance electric kart technology developer and producer for racing, championships, and your leisure business.","Automotive, Battery, Electric Vehicle, Energy Storage, Manufacturing, Product Design, Racing, Renewable Energy, Sales",,https://blueshockrace.com/,$1M to $10M,1837000,EUR,2031994,Seed,6,ASP Asset Management,ASP Asset Management,,1,"24,478"
Pre Seed Round - Flirtu,https://www.crunchbase.com/funding_round/flirtu-io-pre-seed--04052555,Flirtu,https://www.crunchbase.com/organization/flirtu-io,Pre-Seed,"Liepaja, Liepaja, Latvia, Europe",2023-11-28,200000,EUR,220084,Seed,,,,Yes,Flirtu is an app for dating on Telegram that helps users find their perfect match.,"Dating, Messaging, Private Social Networking",,https://flirtu.io/en/,,200000,EUR,220084,Seed,1,Expansion Capital,Expansion Capital,,1,"32,407"
Pre Seed Round - EPIC Company,https://www.crunchbase.com/funding_round/epic-company-pre-seed--74bdf332,EPIC Company,https://www.crunchbase.com/organization/epic-company,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-12-06,,,,Seed,2200000,USD,2200000,Yes,EPIC Company is a technology-driven off-site construction company that reinvents the way homes are built.,"Architecture, Building Material, Construction, Green Building, Manufacturing, Property Development, Property Management, Real Estate, Smart Building, Smart Home",,http://epic-house.com,,,,,Seed,1,,,,,"35,455"
Pre Seed Round - COPY BRAIN,https://www.crunchbase.com/funding_round/copy-brain-pre-seed--7f6299f0,COPY BRAIN,https://www.crunchbase.com/organization/copy-brain,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-10-31,,,,Seed,,,,Yes,"AI, SaaS, Mobile App, Social Media, Content Localization","Artificial Intelligence (AI), Social Media, Social Media Management, Social Media Marketing, Transaction Processing, Translation Service",,https://copybrain.app/,,,,,Seed,1,,,,,"35,649"
Pre Seed Round - Fluxy.One,https://www.crunchbase.com/funding_round/fluxy-one-pre-seed--fdb0e659,Fluxy.One,https://www.crunchbase.com/organization/fluxy-one,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-12-01,,,,Seed,7500000,EUR,7908006,Yes,B2B SaaS platform for European SMEs providing tools to create and manage Digital Product Passports (DPP),"Big Data, Blockchain, Compliance, SaaS, Small and Medium Businesses, Sustainability",,https://fluxy.one,,,,,Seed,1,,,,,"37,355"
Seed Round - SpirulinaNord,https://www.crunchbase.com/funding_round/spirulinanord-seed--50687d75,SpirulinaNord,https://www.crunchbase.com/organization/spirulinanord,Seed,"Riga, Riga, Latvia, Europe",2023-10-20,600000,EUR,635896,Seed,,,,Yes,"SpirulinaNord sells freshly harvested frozen spirulina to preserve antioxidants, vitamin content, and neutral taste.","E-Commerce, Food Processing, Health Care",,https://www.spirulinanord.eu/home/,Less than $1M,650000,EUR,695098,Seed,2,Buildit VC,Buildit VC,,1,"41,881"
Pre Seed Round - Medon,https://www.crunchbase.com/funding_round/medon-b42b-pre-seed--127bf6d7,Medon,https://www.crunchbase.com/organization/medon-b42b,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-05-29,320000,EUR,345638,Seed,,,,Yes,Medon is a telemedicine platform that links patients with doctors in a secure digital environment.,"Health Care, Hospital, Medical, Wellness",,https://medon.lv,,320000,EUR,345638,Seed,1,,,,,"44,416"
Seed Round - EMPYRIO,https://www.crunchbase.com/funding_round/empyrio-seed--f3acb768,EMPYRIO,https://www.crunchbase.com/organization/empyrio,Seed,"Riga, Riga, Latvia, Europe",2022-05-12,650000,EUR,674628,Seed,7500000,EUR,7784169,Yes,Empyrio provides an innovative on-site solution for sustainable sewage sludge utilization for small and medium waste water treatment plants.,"CleanTech, Waste Management, Water",,https://empyrio.com/,Less than $1M,650000,EUR,674628,Seed,1,"Commercialization Reactor, EIT InnoEnergy","Commercialization Reactor, EIT InnoEnergy",,2,"46,500"
Pre Seed Round - Sepsiscan,https://www.crunchbase.com/funding_round/sepsiscan-pre-seed--99243ee9,Sepsiscan,https://www.crunchbase.com/organization/sepsiscan,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-08-30,,,,Seed,,,,Yes,Sepsiscan is a company that creates medical imaging devices for perfusion monitoring and advice in sepsis treatment.,"Hospital, Medical, Wellness",,https://www.sepsiscan.com,,60000,EUR,64440,Seed,2,,"iNOVO, Startupbootcamp",1,2,"46,817"
Seed Round - PrintOnPack.com,https://www.crunchbase.com/funding_round/printonpack-com-seed--3984131c,PrintOnPack.com,https://www.crunchbase.com/organization/printonpack-com,Seed,"Riga, Riga, Latvia, Europe",2021-07-13,450000,EUR,529884,Seed,,,,Yes,PrintOnPack is a Packaging and Containers Manufacturing firm offering a transparent platform for clients and manufacturers.,"Information Technology, Manufacturing, Packaging Services",,https://www.printonpack.com,,450000,EUR,529884,Seed,1,Superhero Capital,Superhero Capital,1,1,"47,512"
Seed Round - GPT360,https://www.crunchbase.com/funding_round/gpt360-seed--08a5d985,GPT360,https://www.crunchbase.com/organization/gpt360,Seed,"Riga, Riga, Latvia, Europe",2024-05-01,600000,USD,600000,Seed,,,,Yes,"The Groundbreaking SuperApp at the Nexus of AI and Web3, Empowering Projects, Marketers with Cutting-Edge AI Solutions","Artificial Intelligence (AI), Decentralized Finance (DeFi), Web3",,https://gpt360.io/,,600000,USD,600000,Seed,1,,"GDA Capital, ZEMU Venture Capital",,2,"53,050"
Pre Seed Round - Cellbox Labs,https://www.crunchbase.com/funding_round/cellbox-labs-pre-seed--9495c750,Cellbox Labs,https://www.crunchbase.com/organization/cellbox-labs,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-05-10,935000,EUR,1007815,Seed,,,,Yes,Cellbox Labs offers industrialized organ-on-chip technology.,"Industrial Manufacturing, Information Technology",,https://www.cellboxlabs.com,,935000,EUR,1007815,Seed,1,Buildit VC,"ASP Asset Management, Buildit VC, Latvian Business Angel Network",1,3,"60,741"
Seed Round - Hyperscan,https://www.crunchbase.com/funding_round/hypescan-seed--9ec2efd2,Hyperscan,https://www.crunchbase.com/organization/hypescan,Seed,"Riga, Riga, Latvia, Europe",2024-12-11,1120000,USD,1120000,Seed,,,,Yes,Our mission is to introduce AI into areas traditionally considered exclusively human.,"Artificial Intelligence (AI), Developer Tools, Generative AI, SaaS, Software, Web Development",,https://hyperscan.wiki/,,1120000,USD,1120000,Seed,1,,,,,"64,710"
Seed Round - Sun-Beam Ads Agency,https://www.crunchbase.com/funding_round/sun-beam-ads-agency-seed--643f46a5,Sun-Beam Ads Agency,https://www.crunchbase.com/organization/sun-beam-ads-agency,Seed,"Riga, Riga, Latvia, Europe",2022-04-04,600000,USD,600000,Seed,1500000,USD,1500000,Yes,Sun-Beam Ads Agency PVT Limited delivers creative ad campaigns and digital marketing to boost brand visibility.,Advertising,,https://sunbeamadsagency.xyz/,,600000,USD,600000,Seed,1,Zonff Partners,Zonff Partners,,1,"68,482"
Seed Round - F3,https://www.crunchbase.com/funding_round/f3-seed--77dae921,F3,https://www.crunchbase.com/organization/f3,Seed,"Riga, Riga, Latvia, Europe",2020-11-25,3900000,USD,3900000,Seed,,,,Yes,"F3 develops a social app for asking questions and creating answers, with all content disappearing in 72 hours.","Mobile Apps, Social Media, Social Network",,https://f3.cool,$1M to $10M,3900000,USD,3900000,Seed,1,Mamba,"AdFirst.vc, Alex Hofmann, Mamba, Marat Kichikov, VK (ex. Mail.Ru Group)",,5,"69,641"
Angel Round - DesignScan,https://www.crunchbase.com/funding_round/designscan-angel--532c08ac,DesignScan,https://www.crunchbase.com/organization/designscan,Angel,"Riga, Riga, Latvia, Europe",2020-12-29,800000,EUR,980280,Seed,,,,Yes,Online platform for Interior Design item sellers and buyers.  Prepare your home for the BEST.,"E-Commerce, Online Portals, Retail",,https://designscan.eu,,800000,EUR,980280,Seed,1,,Alexey Vladimirovich Savchuk,,1,"70,185"
Seed Round - Hyperscan,https://www.crunchbase.com/funding_round/hyperjob-seed--b059fe5d,Hyperscan,https://www.crunchbase.com/organization/hyperjob,Seed,"Riga, Riga, Latvia, Europe",2023-04-04,435000,EUR,476665,Seed,,,,Yes,AI-powered people and company research software,"Artificial Intelligence (AI), Generative AI, Information Technology, Software",,https://hyperscan.co,Less than $1M,586665,USD,586665,Seed,3,SMOK Ventures,"Davis Siksnans, Einar Roosileht, SMOK Ventures",1,3,"71,044"
Seed Round - Smart Vision,https://www.crunchbase.com/funding_round/smart-vision-5bc5-seed--458505c3,Smart Vision,https://www.crunchbase.com/organization/smart-vision-5bc5,Seed,"Riga, Riga, Latvia, Europe",2021-01-01,1800000,EUR,2187968,Seed,,,,Yes,Smart Vision is an online retailer that sells lenses for eye protection and a wide range of glasses and sunglasses for both men and women.,"Beauty, E-Commerce, Eyewear, Fashion",,https://smartvision.lv/,$1M to $10M,3000000,EUR,3575527,Seed,4,Open Circle Capital,Open Circle Capital,1,1,"71,384"
Pre Seed Round - Elogium,https://www.crunchbase.com/funding_round/elogium-pre-seed--617d5087,Elogium,https://www.crunchbase.com/organization/elogium,Pre-Seed,"Riga, Riga, Latvia, Europe",2021-09-10,50000,EUR,59053,Seed,,,,Yes,Elogium is a biotechnology company that specializes in probiotic feed for poultry industry to gain weight of broilers.,"AgTech, Biotechnology",,https://www.elogium.bio,,50000,EUR,59053,Seed,1,Commercialization Reactor,Commercialization Reactor,,1,"76,874"
Seed Round - Innovate-well Clinic PVT Limited,https://www.crunchbase.com/funding_round/innovate-well-clinic-pvt-limited-seed--383af34e,Innovate-well Clinic PVT Limited,https://www.crunchbase.com/organization/innovate-well-clinic-pvt-limited,Seed,"Ikskile, Ogres, Latvia, Europe",2021-02-04,650000,USD,650000,Seed,900000,USD,900000,Yes,"We offers advanced healthcare services, focusing on innovation and personalized care to ensure the well-being of every patient.",Hospital,,https://innovatewellclinic.life,,650000,USD,650000,Seed,1,HiBlock Alliance(Hi Blk Ltd),HiBlock Alliance(Hi Blk Ltd),,1,"77,266"
Pre Seed Round - AM Craft,https://www.crunchbase.com/funding_round/am-craft-pre-seed--4b06a175,AM Craft,https://www.crunchbase.com/organization/am-craft,Pre-Seed,"Riga, Riga, Latvia, Europe",2024-05-15,600000,EUR,653301,Seed,,,,Yes,"AM Craft designs, manufactures, and delivers 3D-printed, small-batch airplane interior components.","Aerospace, Manufacturing",,https://www.am-craft.com,,600000,EUR,653301,Seed,1,Change Ventures,"BADideas.fund, Change Ventures",1,2,"77,431"
Seed Round - The Premier Health Center,https://www.crunchbase.com/funding_round/the-premier-health-center-seed--d047167b,The Premier Health Center,https://www.crunchbase.com/organization/the-premier-health-center,Seed,"Riga, Riga, Latvia, Europe",2020-11-22,450000,USD,450000,Seed,800000,USD,800000,Yes,"The Premier Health Center offers personalized medical services focused on wellness, prevention, and holistic care.","Health Care, Hospital",,https://premierhealthcenter.life/,,450000,USD,450000,Seed,1,Zonff Partners,Zonff Partners,,1,"78,677"
Seed Round - MYCABIN,https://www.crunchbase.com/funding_round/mycabin-seed--83d4d269,MYCABIN,https://www.crunchbase.com/organization/mycabin,Seed,"Riga, Riga, Latvia, Europe",2023-03-15,1550000,EUR,1640173,Seed,,,,Yes,MYCABIN offering small wooden frame holiday homes in different sizes that can be combined as a set.,"Furniture, Smart Building, Smart Home",,https://www.mycabin.lv,,1550000,EUR,1640173,Seed,1,Merito Partners,Merito Partners,1,1,"80,224"
Seed Round - Indemo,https://www.crunchbase.com/funding_round/indemo-seed--1039c39d,Indemo,https://www.crunchbase.com/organization/indemo,Seed,"Riga, Riga, Latvia, Europe",2023-01-23,500000,EUR,543575,Seed,2000000,EUR,2174301,Yes,Investments for the people Earn income through investments usually reserved for institutional investors and high-net-worth individuals.,"Financial Services, FinTech, Peer to Peer, Personal Finance",,https://indemo.eu,,1056000,EUR,1129921,Seed,2,,,,,"81,045"
Pre Seed Round - VOOVOO,https://www.crunchbase.com/funding_round/voovoo-pre-seed--f1dc9ed6,VOOVOO,https://www.crunchbase.com/organization/voovoo,Pre-Seed,"Jurmala, Riga, Latvia, Europe",2021-01-01,185000,EUR,224875,Seed,1500000,EUR,1823307,Yes,VOOVOO is a fleet management solution provider that specializes in real-time prevention of car damage and fines.,"Automotive, Hardware, Information Technology, Software",,https://voovoo.eu/,Less than $1M,250000,EUR,294461,Seed,2,EIT Urban Mobility,"Baltic Tech Ventures, EIT Urban Mobility, Georgia's Innovation and Technology Agency",1,3,"81,723"
