Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Origin Robotics,https://www.crunchbase.com/organization/origin-robotics,Active,,"Aerospace, Government, Military, Robotics","Riga, Riga, Latvia",Defense technology company that specializes in advanced autonomous systems,"6,112","European Union (EU), Europe, Middle East, and Africa (EMEA)",LV-2167,,2022-03-18,day,,,,,For Profit,https://origin-robotics.com/,,,https://www.linkedin.com/company/origin-uav/,,"Government and Military, Hardware, Information Technology, Science and Engineering, Software",2,11-50,"Agris Kipurs, Ilja Nevdahs",3,Seed,2024-11-27,4500000,EUR,4753575,Grant,2400000,EUR,2592145,Pre-Seed,2400000,EUR,2592145,8500000,EUR,9073817,"Change Ventures, European Union, Silicon Roundabout Ventures",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
Naco,https://www.crunchbase.com/organization/naco-e10b,Active,,"CleanTech, Manufacturing, Nanotechnology","Riga, Riga, Latvia",Naco builds a manufacturing station to provide its clients with ready-to-use coated parts for hydrogen production.,"24,613","European Union (EU), Europe, Middle East, and Africa (EMEA)",1005,$1M to $10M,2020-01-01,year,,,,,For Profit,https://www.naco.tech,,,https://www.linkedin.com/company/naco-technologies,Naco builds a manufacturing station to provide its clients with ready-to-use coated parts for hydrogen production.,"Manufacturing, Science and Engineering, Sustainability",,11-50,,4,Seed,2025-01-14,2500000,EUR,2576525,Seed,2500000,EUR,2576525,Seed,5200000,EUR,5531300,15200000,EUR,16489123,"European Innovation Council, The Untitled Venture Company, Buildit VC, Radix Ventures, Impact Ventures Hungary",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Naco Technologies,https://www.crunchbase.com/organization/naco-technologies-ltd,Active,,"Manufacturing, Nanotechnology, Product Management, Quality Assurance","Riga, Riga, Latvia","Naco Technologies is a nanotechnology firm that develops, manufactures, and supplies nano-coating technologies to customers worldwide.","36,168","European Union (EU), Europe, Middle East, and Africa (EMEA)",1005,Less than $1M,2009-01-01,year,2015-12-07,day,,,For Profit,http://www.nacotechnologies.com,https://x.com/Naco_tech,,https://www.linkedin.com/company/naco-technologies/,"Naco Technologies Ltd develops, manufactures, and supplies nano coating technologies to customers worldwide. The company provides a range of high-performance multilayer and multicomponent coatings for equipment used in the tooling, automotive, aerospace, and micro-chip industries. Its products include oil-enhanced, wear-protective, thermal barrier, and liquid-repellent coatings. Naco Technologies was founded in 2009 and is based in Riga, Latvia. In 2015 Naco Texhnologies was acquired by the Germany-based Schaeffler Group.","Manufacturing, Other, Professional Services, Science and Engineering",3,1-10,"Alexander Parfinovich, Eduard Parfinovich, Valery Mitin",9,M&A,2025-01-14,2500000,EUR,2576525,Venture - Series Unknown,2500000,EUR,2576525,Venture - Series Unknown,6350000,EUR,7109107,8650000,EUR,9608632,"Radix Ventures, Buildit VC, EIC Accelerator, Untitled Ventures, Imprimatur Capital Fund Management",5,9,,Was Acquired,Naco Technologies acquired by Schaeffler Group,https://www.crunchbase.com/acquisition/schaeffler-group-acquires-naco-technologies-ltd--26a022ba,Schaeffler Group,https://www.crunchbase.com/organization/schaeffler-group,2015-12-07,day,,,,Acquisition,,Private,,,,,,,,,,,
Jeff,https://www.crunchbase.com/organization/jeff-e713,Active,,"Financial Services, FinTech, Lending","Riga, Riga, Latvia","Jeff is a broker of personalized loan products, connecting borrowers and lending institutions.","39,641","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2019-01-01,year,,,,,For Profit,https://www.jeff-app.com/,https://x.com/jeff_finance,https://www.facebook.com/pg/GetJeffApp/,https://www.linkedin.com/company/jeffapp/,"Jeff is a personalized loan broker that matches borrowers and lenders through alternative data. Jeff's mission is to help the unbanked to access financial services. In the absence of credit history and bank transactions, Jeff gathers alternative data from sources like smartphones, social media, behavioral patterns, geolocation, and other types of digital footprint. Jeff then puts this information to good use and find ways on how alternative data points can prove creditworthiness and build trust, building new ways of accessing financing and evolving an alternative credit score. The company was founded in 2019 and is located in Riga, Latvia.",Financial Services,2,11-50,"Reinis Tenis, Toms Niparts",5,Seed,2024-07-17,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,4866889,USD,4866889,4866889,USD,4866889,"Startup Wise Guys, Presto Ventures, iSeed, J12, Toy Ventures",3,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
EMPYRIO,https://www.crunchbase.com/organization/empyrio,Active,,"CleanTech, Waste Management, Water","Riga, Riga, Latvia",Empyrio provides an innovative on-site solution for sustainable sewage sludge utilization for small and medium waste water treatment plants.,"59,239","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2018-06-26,day,,,,,For Profit,https://empyrio.com/,,,https://www.linkedin.com/company/empyrio/,"EMPYRIO inventors developed a system that provides a complex pre-drying and subsequent utilization of high-moisture organic waste. The system operates autonomously, burning waste without the need for additional energy sources or raw materials, ensuring a fully self-sustaining process. The heat generated is efficiently redirected to dry incoming wet waste, enabling continuous utilization. Designed specifically for small and medium-sized wastewater treatment plants, EMPYRIO’s on-site deployment eliminates the need for costly sewage sludge transportation, significantly reducing operational expenses. Traditional disposal methods often involve high gate fees, long-distance transport, and regulatory challenges, whereas EMPYRIO provides a far more cost-effective and compliant alternative. By utilizing the waste directly at its source, facilities avoid dependency on external processing plants and gain long-term financial predictability. In markets like Germany, where sludge disposal costs range from €280 to €480 per ton of dry solids, EMPYRIO’s system can reduce costs to just €150-230 per ton​, delivering multimillion-euro savings over a decade. EMPYRIO’s compact, modular design allows for seamless integration into existing wastewater treatment infrastructure without requiring costly facility modifications. Housed in standard 20- and 40-foot containers​, the system minimizes space requirements while ensuring easy scalability for various plant sizes. EMPYRIO’s technology is particularly effective for high-moisture and viscous organic waste, such as sewage sludge, chicken droppings, and other challenging materials that conventional technologies struggle to process. By providing an energy-efficient, space-saving, and cost-reducing solution, EMPYRIO supports sustainable waste management while ensuring compliance with stringent environmental regulations.","Natural Resources, Sustainability",1,1-10,Alexander Belskis,1,Seed,2022-05-12,650000,EUR,674628,Seed,650000,EUR,674628,Seed,650000,EUR,674628,650000,EUR,674628,"EIT InnoEnergy, Commercialization Reactor",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
FIXAR,https://www.crunchbase.com/organization/fixar,Active,,"Autonomous Vehicles, Drones, Robotics, Software","Riga, Riga, Latvia","FIXAR is a leading software and aircraft design developer, powering commercial autonomous UAVs for industrial applications.","63,616","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,day,,,,,For Profit,https://fixar.pro/,,https://www.facebook.com/FIXARGlobal,https://www.linkedin.com/company/fixar-global/,"FIXAR is a leading software and aircraft design developer, powering commercial autonomous UAVs for industrial applications. FIXAR provides end-to-end solutions to the current challenges in aerial photography, laser scanning, real-time monitoring, delivery, agriculture, and the anti-drone sector. All solutions are created for the customers' needs to deliver better efficiency and reliability than the alternatives.","Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software, Transportation",1,11-50,Vasiliy Lukashov,3,Seed,2022-01-12,,,,Seed,,,,Seed,2700000,USD,2700000,2700000,USD,2700000,"The Untitled Venture Company, Angelsdeck Global Ventures, NuVX Capital",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
CENOS,https://www.crunchbase.com/organization/cenos,Active,,"CAD, Industrial Engineering, Information Technology, Simulation, Software","Riga, Riga, Latvia",CENOS is a simulation platform designed to democratize simulation with open-source and focused applications.,"64,283","European Union (EU), Europe, Middle East, and Africa (EMEA)",LV-1002,Less than $1M,2017-03-14,day,,,,,For Profit,https://www.cenos-platform.com/,https://x.com/cenosplatform,https://www.facebook.com/CENOSplatform/,https://www.linkedin.com/company/cenos,CENOS redefines engineering simulation software category for mass adoption: FROM enterprise niche and multi-purpose software for 100K simulation experts TO mass adoption of intuitive vertical-focused simulation apps by 10M+ practical engineers in production,"Design, Information Technology, Manufacturing, Science and Engineering, Software",3,11-50,"Mihails Scepanskis, Raimonds Vilums, Vadims Geza",12,Seed,2024-02-08,147000,EUR,158431,Convertible Note,100000,EUR,106897,Angel,1874500,EUR,2110554,2375750,EUR,2683922,"500 Global, Startup Wise Guys, Siena Capital, Capitalia, goverment of Latvia",3,34,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Cubed,https://www.crunchbase.com/organization/cubed-e4c4,Active,,Property Development,"Riga, Riga, Latvia",Cubed is a two-sided marketplace where real-estate buyers can customize and order precisely what they want.,"64,533","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2021-12-01,day,,,,,For Profit,https://cubed.lv,,https://www.facebook.com/Cubedplatform,https://www.linkedin.com/company/cubed,Cubed is a two-sided marketplace where real-estate buyers can customize and order precisely what they want & real-estate developers can deliver buildings faster and cheaper with reduced risks. This is done by pre-selling properties on the platform and using standardized 3D projects built in off-site factories.,Real Estate,3,1-10,"Dāvis Kolbergs, Yaroslav Luzin, Ēriks Kehris",3,Seed,2023-05-09,,,,Pre-Seed,,,,Pre-Seed,,,,5000,USD,5000,"Startup Wise Guys, Buildit VC",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Airdog,https://www.crunchbase.com/organization/helico-aerospace-industries,Closed,,"Drones, Electronics, Manufacturing, Robotics","Riga, Riga, Latvia",Airdog is an electronics company that develops drones for autonomous action sports that are designed to record footage from above.,"70,065","European Union (EU), Europe, Middle East, and Africa (EMEA)",1001,$1M to $10M,2013-01-01,day,2020-03-15,day,2020-01-01,day,For Profit,https://www.airdog.com,https://x.com/airdogteam,https://www.facebook.com/airdogteam/,,"Airdog is an electronics manufacturing company that develops autonomous action sports drones intended to capture videos from the ground up. Their product uses a combination of unique motion prediction technologies and follows algorithms enabling users to capture the world around, them hands-free and in the perfect frame every time.","Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering, Software",3,11-50,"Agris Kipurs, Edgars Rozentals, Ilja Nevdahs",5,M&A,2017-08-11,303588,USD,303588,Product Crowdfunding,3506665,USD,3506665,Series A,6005994,USD,6005994,9045936,USD,9045936,"Carthona Capital, Base Ventures, Social Discovery Group, Wistron Corporation, Seraph Group",2,21,,Was Acquired,Airdog acquired by Alarm.com,https://www.crunchbase.com/acquisition/alarm-com-acquires-helico-aerospace-industries--4b37937e,Alarm.com,https://www.crunchbase.com/organization/alarm-com,2020-03-15,day,,,,Acquisition,,Private,,,,,,,,,,,2
Catalyco,https://www.crunchbase.com/organization/catalyco,Active,,"Chemical, Chemical Engineering, Manufacturing","Riga, Riga, Latvia","Catalyco is developing a circular economy supply chain for ZnO to reduce imported materials, help the industry meet ESG.","70,677","European Union (EU), Europe, Middle East, and Africa (EMEA)",LV-1005,Less than $1M,2018-10-10,day,,,,,For Profit,https://www.catalyco.eu,,https://www.facebook.com/catalyco.eu/,https://www.linkedin.com/company/catalyco/,"Large amounts of valuable zinc oxide material are wasted due to complex or costly recovery processes, or lack of appropriate technology for recovery. This results in significant financial burdens for catalyst manufacturers who must purchase fresh ZnO to compensate for the lost material. The reliance on imports for 40% of ZnO creates vulnerabilities. We secure a local supply chain for ZnO by extracting it from industrial waste streams. We manufacture advanced ZnO products with unique characteristics and obtain added value in an environmentally friendly way. The potential applications are the tire and rubber industry, adsorbents and catalysts, and because of high purity the cosmetics sector.","Manufacturing, Science and Engineering",2,1-10,"Reinis Spunde, Vera Shchankina Genadievna",8,Seed,2024-06-17,,,,Grant,1000000,EUR,1096400,Seed,1430000,EUR,1608959,1930635,EUR,2197380,"EIT InnoEnergy, Commercialization Reactor, EIT RawMaterials, Ready2Scale, BePaMü GmbH",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
