Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Feedzai,https://www.crunchbase.com/organization/feedzai,Active,,"Analytics, Artificial Intelligence (AI), FinTech, Fraud Detection, Information Technology","Coimbra, Coimbra, Portugal",Feedzai develops risk management tools to prevent fraud and money laundering in transactions.,207,"European Union (EU), Europe, Middle East, and Africa (EMEA)",3030-790,$50M to $100M,2009-10-18,day,,,,,For Profit,http://www.feedzai.com,http://twitter.com/feedzai,https://www.facebook.com/feedzai,https://www.linkedin.com/company/feedzai,"Feedzai is a data science company that helps financial institutions prevent, detect, and remediates fraud risk. Feedzai has one mission: to make banking and commerce safe by combining fraud prevention and anti-money laundering under one platform to manage financial crime. Founded by data scientists and aerospace engineers, Feedzai is considered best in a class by Aite and one of the most successful AI companies by Forbes. The world’s largest banks, processors, and retailers use Feedzai to safeguard trillions of dollars and manage risk while improving customer experience.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software",4,501-1000,"Antonio Acosta, Nuno Sebastiao, Paulo Marques, Pedro Bizarro",8,,2021-09-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,277465392,USD,277465392,277465392,USD,277465392,"Oak HC/FT, Sapphire Ventures, Kohlberg Kravis Roberts, DCVC, Citi Ventures",7,12,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,16
OSCAR,https://www.crunchbase.com/organization/oscar-4e53,Active,,"Apps, Consumer Applications, Home Services","Lisbon, Lisboa, Portugal",OSCAR is a home services app that offers a platform for booking various on-demand home services for customers.,"3,342","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2019-12-12,day,,,,,For Profit,https://oscar-app.com,,https://www.facebook.com/oscar.app.pt,https://www.linkedin.com/company/oscar-app,"OSCAR offers a variety of fixed-price home services, including maintenance, cleaning, laundry, and beauty services, all accessible through a user-friendly app. Customers can easily schedule appointments for these services, with options available for immediate bookings. Additionally, OSCAR provides repair services for household appliances like washing machines and boilers, ensuring convenience for users. The platform streamlines the process of finding and scheduling necessary home services, catering to the needs of busy individuals and families. Through its comprehensive service offerings, OSCAR simplifies home management for its users.","Apps, Real Estate, Software",1,101-250,João Marques,4,Seed,2025-05-02,6000000,EUR,6788144,Seed,6000000,EUR,6788144,Seed,12000000,EUR,13298921,12000000,EUR,13298921,"Accel, Quiet Capital, Indico Capital Partners, Failup Ventures, Lince Capital",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
GoParity,https://www.crunchbase.com/organization/goparity,Active,,"CleanTech, Crowdfunding, FinTech, Sustainability","Lisbon, Lisboa, Portugal",Personal finance and investment app that connects people and companies with organizations that need funding for sustainability projects.,"3,739","European Union (EU), Europe, Middle East, and Africa (EMEA)",1200-161,,2017-04-24,day,,,,,For Profit,https://goparity.com/,,https://www.facebook.com/goparity/?ref=bookmarks,https://www.linkedin.com/company/goparity/,"GoParity is an online savings and investment platform that uses a P2P business model to simplify investment and allow citizens and companies to get a decent return on their sustainable loans.  Citizens and companies invest their funds in projects they believe in to generate economic, social and environmental impact. We are driving the transition towards a more sustainable and inclusive economic system, making investment in sustainable solutions accessible to all, from citizens to small enterprises. Join us @ www.goparity.com","Financial Services, Sustainability",1,11-50,Nuno Brito Jorge,10,,2025-05-05,2900000,EUR,3287270,Venture - Series Unknown,2900000,EUR,3287270,Venture - Series Unknown,8954820,USD,8954820,9681461,USD,9681461,"Crowdcube, Google for Startups, Investeco Capital, Schneider Electric Energy Access Asia, Critical Software",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ethena,https://www.crunchbase.com/organization/ethena-b5a5,Active,,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Ethereum, Finance, FinTech","Lisbon, Lisboa, Portugal","Ethena is a decentralized finance protocol built on the Ethereum, offering a crypto-native synthetic dollar solution known as USDe.","4,950","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2023-01-01,year,,,,,For Profit,https://www.ethena.fi,https://twitter.com/ethena_labs,,https://www.linkedin.com/company/ethena-labs,"Ethena is a decentralized finance (DeFi) protocol built on the Ethereum blockchain, offering a crypto-native synthetic dollar solution known as USDe. This protocol provides users with a stable, censorship-resistant digital currency not reliant on traditional banking infrastructure. Additionally, Ethena introduces sUSDe, a globally accessible dollar-denominated savings asset that allows users to earn a yield on their holdings.","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1,11-50,Guy Young,5,,2025-03-12,36000000,USD,36000000,Venture - Series Unknown,36000000,USD,36000000,Venture - Series Unknown,156500000,USD,156500000,156820000,USD,156820000,"Franklin Templeton, Gemini, Pantera Capital, YZi Labs, Dragonfly",2,24,,,,,,,,,,,,,,Private,,,,,,,,,,,
Jscrambler,https://www.crunchbase.com/organization/jscrambler,Active,,"Cyber Security, Security, Web Apps, Web Development","Porto, Lisboa, Portugal",Jscrambler is the leader in Client-Side Protection and Compliance.,"5,436","European Union (EU), Europe, Middle East, and Africa (EMEA)",4200-135,$1M to $10M,2014-01-01,year,,,,,For Profit,https://jscrambler.com/,https://twitter.com/Jscrambler,https://www.facebook.com/Jscrambler.AppSec/,https://www.linkedin.com/company/jscrambler,"Jscrambler is the leader in Client-Side Protection and Compliance. We were the first to merge advanced polymorphic JavaScript obfuscation with fine-grained third-party tag protection in a unified Client-Side Protection and Compliance Platform. Our integrated solution ensures a robust defense against current and emerging client-side cyber threats, data leaks, misconfigurations, and IP theft. The Jscrambler Code Integrity product safeguards first-party JavaScript through state-of-the art obfuscation and exclusive runtime protection. The Jscrambler Webpage Integrity product mitigates threats and risks posed by third-party tags all while ensuring compliance with the new PCI DSS v4 standard. Jscrambler’s Iframe Integrity is an innovative solution that helps PSPs and payment processors deliver instant PCI DSS v4-compliant payment iframes to their merchants. With Jscrambler, businesses adopt a unified, future-proof client-side security policy all while achieving compliance with emerging security standards. Jscrambler serves a diverse range of customers, including top Fortune 500 companies, online retailers, airlines, media outlets, and financial services firms whose success depends on safely engaging with their customers online. Join us in shaping the future of web security and enabling fearless digital innovation.","Apps, Information Technology, Privacy and Security, Software",2,51-100,"Pedro Fortuna, Rui Ribeiro",4,,2025-02-12,5200000,USD,5200000,Venture - Series Unknown,5200000,USD,5200000,Venture - Series Unknown,22500000,USD,22500000,22500000,USD,22500000,"Ace Capital Partners, Bright Pixel (formerly Sonae IM), Iberis Capital, Portugal Ventures",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,10
Sensei,https://www.crunchbase.com/organization/sensei-3,Active,,"Analytics, Artificial Intelligence (AI), Computer Vision, Retail, Retail Technology","Lisbon, Lisboa, Portugal","Sensei offers a scalable, seamless store-wide solution that empowers the stores of the future to be check-out and cash free.","8,257","European Union (EU), Europe, Middle East, and Africa (EMEA)",1250-052,$10M to $50M,2017-09-01,month,,,,,For Profit,https://www.sensei.tech,https://www.twitter.com/sensei_tech,https://www.facebook.com/senseiretail,https://www.linkedin.com/company/sensei-tech,"Sensei offers a scalable, seamless store-wide solution that empowers the stores of the future to be check-out and cash free. Through an integrated system of cameras and AI algorithms, Sensei enables a new era of Phygital stores able to capture in-store product data and shoppers’ activities, to offer a wealth of analytics and smooth, frictionless shopping experience.","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",4,51-100,"Joana Rafael, Nuno Moutinho, Paulo Carreira, Vasco Portugal",5,Early Stage Venture,2024-10-22,91000000,BRL,15990722,Series A,91000000,BRL,15990722,Series A,23135096,USD,23135096,23368167,USD,23368167,"Techstars, Seaya, Lince Capital, Explorer Investments, Bright Pixel (formerly Sonae IM)",6,15,,,,,,,,,,,,,,Private,,,,,,,,,,,3
Unbabel,https://www.crunchbase.com/organization/unbabel,Active,,"Artificial Intelligence (AI), B2B, Machine Learning, Natural Language Processing, Software, Translation Service","Lisbon, Lisboa, Portugal",Unbabel is an IT company that helps businesses deliver multilingual customers thrive across cultures and geographies through AI.,"9,189","European Union (EU), Europe, Middle East, and Africa (EMEA)",1000-286,$50M to $100M,2013-01-01,year,,,,,For Profit,https://unbabel.com,https://x.com/unbabel,https://www.facebook.com/unbabel,https://www.linkedin.com/company/unbabel,"Unbabel enables modern enterprises to serve customers in their native languages, with always-on, scalable translation across digital channels. Powered by AI and refined by a global community of translators, It combines the speed and scale of machine translation with the authenticity that can come only from a native speaker.","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",5,251-500,"Bruno Prezado, Hugo Silva, João Graça, Sofia Pessanha, Vasco Pedro",7,Late Stage Venture,2019-09-23,60000000,USD,60000000,Series C,60000000,USD,60000000,Series C,91180004,USD,91180004,91180004,USD,91180004,"Y Combinator, Headline, Greycroft, Salesforce Ventures, Samsung NEXT",2,34,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,9
Balancer Labs,https://www.crunchbase.com/organization/balancer-labs,Active,,"Blockchain, Financial Services","Lisbon, Lisboa, Portugal","Balancer Labs is a non-custodial portfolio manager, liquidity provider, and price sensor.","9,206","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,year,,,,,For Profit,https://balancer.fi/,https://twitter.com/BalancerLabs,,https://www.linkedin.com/company/balancer-ecosystem/,"Balancer Labs is a non-custodial portfolio manager, liquidity provider, and price sensor.","Blockchain and Cryptocurrency, Financial Services, Other",3,11-50,"Fernando Martinelli, Mike McDonald, Nikolai Mushegian",3,,2021-05-27,24250000,USD,24250000,Initial Coin Offering,24250000,USD,24250000,Initial Coin Offering,32250000,USD,32250000,32250000,USD,32250000,"Blockchain Capital, Pantera Capital, LongHash Ventures, FinTech Collective, Accomplice",8,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
Codacy,https://www.crunchbase.com/organization/codacy,Active,,"B2B, Developer Tools, SaaS, Software","Lisbon, Lisboa, Portugal",Codacy is an automated code review tool that helps developers save time in code reviews and manage technical debt.,"9,918","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2012-01-01,year,,,,,For Profit,https://www.codacy.com,http://twitter.com/codacy,http://www.facebook.com/codacy,https://www.linkedin.com/company/codacy,Codacy is an automated code review tool that helps developers to save time in code reviews and to tackle technical debt efficiently.  Developers spend 10%-20% of their time reviewing code.  Gartner estimates the global technical debt to grow to $1 Trillion by 2015.  Codacy tracks new issues by severity level for every commit and pull request and allows a hassle free customization of static analysis  It provides advanced code metrics on the health of a project and on the performance of teams.,"Other, Software",2,51-100,"Jaime Jorge, Joao Caxaria",5,Early Stage Venture,2022-09-21,15000000,USD,15000000,Series B,15000000,USD,15000000,Series B,29400000,USD,29400000,29400000,USD,29400000,"EQT Ventures, Faber, Seedcamp, Isomer Capital, Armilar Venture Partners",4,10,,,,,,,,,,,,,,Private,,,,,,,,,,,5
Aptoide,https://www.crunchbase.com/organization/aptoide,Active,,"Android, App Discovery, Enterprise Software, Mobile","Évora, Evora, Portugal","Aptoide, an independent Android app store that allows developers, OEM, telcos, and integrators to create and manage their own Android store.","12,366","European Union (EU), Europe, Middle East, and Africa (EMEA)",7005-485,Less than $1M,2011-08-01,day,,,,,For Profit,https://en.aptoide.com/,http://twitter.com/aptoide,http://www.facebook.com/aptoide,http://www.linkedin.com/company/aptoide,"Aptoide is a Marketplace in the Android Platform with over 1.5 Million daily active users. It allows Developers, OEM, Telcos and Integrators to create and manage their own Android store. Our partners can also upload and distribute their Android Apps through their own stores.  We have an open-source version of the client,  although Aptoide also provides customization, branding and services to our partners, adding value over the open-source version. Aptoide is a very fast growing incorporated company with solid grounds.","Apps, Mobile, Platforms, Sales and Marketing, Software",3,51-100,"Alvaro Pinto, Inês Rola, Paulo Trezentos",8,,2023-11-09,8500000,EUR,9067034,Corporate Round,8500000,EUR,9067034,Corporate Round,34939880,USD,34939880,34939880,USD,34939880,"Golden Gate Ventures, Headline, Gobi Partners, Centro de Incubação de Évora, Digital Turbine",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,6
UpHill,https://www.crunchbase.com/organization/uphill,Active,,"Health Care, Medical Device, mHealth","Lisbon, Lisboa, Portugal",UpHill is a digital health startup that creates software to guide clinical decisions.,"12,748","European Union (EU), Europe, Middle East, and Africa (EMEA)",1990-095,$1M to $10M,2015-04-01,month,,,,,For Profit,https://uphillhealth.com,,https://www.facebook.com/UpHill.pt/,https://www.linkedin.com/company/uphill-health,"UpHill is a digital health startup that orchestrates care. Our clinical pathway software integrates with existing hospital information systems to automate tasks and bridging gaps in care. With UpHill, hospitals have a comprehensive view of their patient's status throughout their journeys as individuals and as a population. By applying evidence-based knowledge through stepwise clinical pathways, UpHill enables health teams to improve outcomes and streamline care.  The companies works with leading healthcare providers and life science companies across Europe to reduce waste associated with care variability and fragmentation while improving patient outcomes and hospital revenues. UpHill's mission is to help people both healthcare professionals and patients to always provide and receive the best care.","Health Care, Mobile",3,11-50,"Duarte Sequeira, Eduardo Freire Rodrigues, Luís Patrão",4,Early Stage Venture,2024-03-18,7000000,EUR,7611376,Series A,7000000,EUR,7611376,Series A,11100000,EUR,12427508,11150000,EUR,12480463,"Redstone.VC, Brighteye Ventures, Bynd Venture Capital, Explorer Investments, Caixa Capital",4,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
