Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Qevlar AI,https://www.crunchbase.com/funding_round/qevlar-ai-seed--40aa08ec,Qevlar AI,https://www.crunchbase.com/organization/qevlar-ai,Seed,"Paris, Ile-de-France, France, Europe",2025-04-08,10000000,USD,10000000,Seed,,,,Yes,"Qevlar AI specializes in autonomous security operations center solutions to enrich, investigate, contextualize, and triage security alerts.","Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security, SaaS",,https://www.qevlar.com,$1M to $10M,14884540,USD,14884540,Seed,2,"EQT Ventures, Forgepoint Capital International","EQT Ventures, Florian Douetteau, Forgepoint Capital International, Mehdi Ghissassi, Olivier Pomel",2,5,157
Seed Round - Pyannote AI,https://www.crunchbase.com/funding_round/pyannote-ai-seed--4853e800,Pyannote AI,https://www.crunchbase.com/organization/pyannote-ai,Seed,"Paris, Ile-de-France, France, Europe",2025-04-07,8100000,EUR,8895205,Seed,,,,Yes,Pyannote AI provides speaker diarization solutions for accurate voice-to-speaker alignment.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Speech Recognition",,https://www.pyannote.ai,,8100000,EUR,8895205,Seed,1,"Crane Venture Partners, Serena","Alexis Conneau, Crane Venture Partners, Jean-Louis Quéguiner, Julien Chaumond, Kima Ventures, Laura Modiano, Motier Ventures, Pareto Holdings, Serena",2,9,383
Pre Seed Round - Klaimy,https://www.crunchbase.com/funding_round/klaimy-pre-seed--d53dcdf9,Klaimy,https://www.crunchbase.com/organization/klaimy,Pre-Seed,"Paris, Ile-de-France, France, Europe",2025-04-14,1200000,EUR,1363833,Seed,,,,Yes,"Klaimy automates insurance claims processing using OCR, AI, and LLM to enhance efficiency and decision-making.","Financial Services, Insurance, InsurTech",,https://www.getklaimy.com,$1M to $10M,1200000,EUR,1363833,Seed,1,Insurtech Gateway,"Insurtech Gateway, Tenity, U-investors",1,3,386
Pre Seed Round - Sylcast,https://www.crunchbase.com/funding_round/sylcast-pre-seed--90c46044,Sylcast,https://www.crunchbase.com/organization/sylcast,Pre-Seed,"Avon, Poitou-Charentes, France, Europe",2025-04-22,300000,EUR,345675,Seed,,,,Yes,Sylcast is a tech startup that aims to improve the sustainable management of green space resources and ecosystem resilience.,Sustainability,,https://www.sylcast.com/accueil,,300000,EUR,345675,Seed,1,Lifetime Ventures,Lifetime Ventures,1,1,"1,913"
Seed Round - Celest Science,https://www.crunchbase.com/funding_round/celest-science-seed--5b70b355,Celest Science,https://www.crunchbase.com/organization/celest-science,Seed,"Montpellier, Languedoc-Roussillon, France, Europe",2025-04-22,2000000,EUR,2304501,Seed,,,,Yes,Celest Science is a climate risk modelling startup.,"Environmental Consulting, Machinery Manufacturing, Predictive Analytics",,https://www.celest.science,,2000000,EUR,2304501,Seed,1,"astorya.vc, Plug & Play","Armando Mann, astorya.vc, Christophe Neves, Didier Valet, Eric Mignot, Plug & Play, Stephane Guinet",,7,"2,139"
Seed Round - Delos,https://www.crunchbase.com/funding_round/delos-dedc-seed--9e63e151,Delos,https://www.crunchbase.com/organization/delos-dedc,Seed,"Paris, Ile-de-France, France, Europe",2025-04-15,2500000,EUR,2831100,Seed,,,,Yes,Delos is a generative AI platform for organizational and business development for companies.,"Artificial Intelligence (AI), Generative AI, Software",,https://www.delos.so/fr,,2500000,EUR,2831100,Seed,1,The Twenty Minute VC,"Inovia Capital, Kima Ventures, The Twenty Minute VC",,3,"2,893"
Seed Round - Flagcat,https://www.crunchbase.com/funding_round/flagcat-seed--65cd5d49,Flagcat,https://www.crunchbase.com/organization/flagcat,Seed,"Paris, Ile-de-France, France, Europe",2025-03-19,2500000,EUR,2727941,Seed,,,,Yes,Flagcat is a webtoon studio producing top notch original series. The company is developing its own proprietary webtoon engine.,"Comics, Digital Entertainment, Media and Entertainment",,https://flagcat.studio/,,4500000,EUR,4867589,Seed,2,Acurio Ventures,"Acurio Ventures, Motier Ventures, Seedcamp, Society of Entertainment, The Players Fund",1,5,"3,020"
Pre Seed Round - Versant,https://www.crunchbase.com/funding_round/abundantearth-pre-seed--fd7d2372,Versant,https://www.crunchbase.com/organization/abundantearth,Pre-Seed,"Paris, Ile-de-France, France, Europe",2025-04-15,350000,EUR,396354,Seed,,,,Yes,Versant is an environmental analysis company that provides land identification for ecological compensation.,"Information Technology, Natural Resources, Satellite Communication, Sustainability",,https://versant.earth/,$100M to $500M,640000,EUR,717571,Seed,4,,"Antler, Climate Leaders Fast Track",1,2,"3,119"
Seed Round - OpusMajor,https://www.crunchbase.com/funding_round/opusmajor-seed--63bcd55b,OpusMajor,https://www.crunchbase.com/organization/opusmajor,Seed,"Paris, Ile-de-France, France, Europe",2025-03-12,10000000,USD,10000000,Seed,,,,Yes,Opus Major is a company that uses music and video games to create experiences that strengthen human bonds.,"Art, Audio, Gaming, Music, Video Games",,https://www.opusmajor.io,,10000000,USD,10000000,Seed,1,Griffin Gaming Partners,"Alven, Griffin Gaming Partners",2,2,"3,381"
Seed Round - Theremia,https://www.crunchbase.com/funding_round/theremia-seed--48419131,Theremia,https://www.crunchbase.com/organization/theremia,Seed,"Paris, Ile-de-France, France, Europe",2024-11-07,3000000,EUR,3238681,Seed,,,,Yes,Theremia reduces side effects and increases medication efficacy for various patient groups.,"Consulting, Information Technology, IT Management",,https://theremia.health,,6408681,USD,6408681,Seed,2,"Eurazeo, Salica","Better Angels Ventures, Better Angle, Bpifrance, Entrepreneurs First, Eurazeo, Salica, Tiny VC",3,7,"3,886"
