Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
GetYourGuide,https://www.crunchbase.com/organization/getyourguide,Active,,"Consumer Reviews, E-Commerce, Hospitality, Recreation, Tourism, Travel","Berlin, Berlin, Germany",GetYourGuide is an online tourism platform that connects travelers with local guides for unique experiences worldwide.,594,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10409,Less than $1M,2009-01-01,year,,,,,For Profit,https://www.getyourguide.com,https://www.twitter.com/GetYourGuide,https://www.facebook.com/GetYourGuide,https://www.linkedin.com/company/getyourguide-ag,"GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide. It offers tourist services online via the Internet and mobile applications. The platform sells tours and excursions, activities including cooking classes, and tickets to many tourist attractions. GetYourGuide runs a thriving and viral business curating, and selling tickets for running walks and other exploration experiences for people touring different parts of the world. The business model for GetYourGuide stipulates that it does not offer its tours or activities, but rather, acts as a mediator between customers and providers. The service is free for customers, but the provider of the tour has to pay GetYourGuide a percentage of its revenue. GetYourGuide, an online customer review system, enables potential customers to assess the quality of tour providers. Additionally, the platform removes providers who consistently get bad reviews from its inventory.","Commerce and Shopping, Sports, Travel and Tourism",5,501-1000,"Johannes Reck, Martin Sieber, Pascal Mathis, Tao Tao, Tobias Rein",14,Late Stage Venture,2023-06-01,109000000,USD,109000000,Debt Financing,85000000,USD,85000000,Series F,741327560,USD,741327560,1080168934,USD,1080168934,"Temasek Holdings, Citi, Deutsche Bank, BNP Paribas, Spark Capital",13,38,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,3
SoundCloud,https://www.crunchbase.com/organization/soundcloud,Active,,"Apps, Audio, Audio Recording and Production, Independent Music, Music, Music Streaming","Berlin, Berlin, Germany",SoundCloud is a social sound platform where anyone can create and share sounds.,717,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10115,$1M to $10M,2007-01-01,year,,,,,For Profit,http://www.soundcloud.com,http://twitter.com/soundcloud,https://www.facebook.com/SoundCloud,https://www.linkedin.com/company/soundcloud,"SoundCloud is a social sound platform where anyone can create and share sounds. It allows people to discover and enjoy the largest selection of music from the world’s most diverse creator community. This is made possible by an open platform that directly connects creators and their fans across the globe. Sound creators can use the platform to instantly record, upload, and share sounds across the internet, as well as receive detailed stats and feedback from the SoundCloud community. SoundCloud was launched in 2008 by Alexander Ljung and Eric Wahlforss.","Apps, Internet Services, Media and Entertainment, Music and Audio, Software",2,251-500,"Alexander Ljung, Eric Quidenus-Wahlforss",10,,2020-02-11,75000000,USD,75000000,Corporate Round,75000000,USD,75000000,Corporate Round,437820688,USD,437820688,542820688,USD,542820688,"Temasek Holdings, Union Square Ventures, IVP, Index Ventures, Kleiner Perkins",12,18,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,6
Contentful,https://www.crunchbase.com/organization/contentful,Active,,"Cloud Computing, CMS, Content, Developer Tools, Publishing, SaaS, Software","Berlin, Berlin, Germany",Contentful offers a headless content management system that helps organizations deliver content across channels.,850,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10969,$10M to $50M,2013-01-01,year,,,,,For Profit,https://www.contentful.com,https://x.com/contentful,https://www.facebook.com/contentful,https://www.linkedin.com/company/contentful,"https://x.com/contentfulContentful, the content platform for digital-first business, helps 30% of the Fortune 500 and thousands of brands around the world create and manage digital experiences for their customers across any channel. It enables greater speed and scale than traditional CMS solutions. The company unifies content in a single hub, structures it for use in any digital channel, and integrates seamlessly with hundreds of other tools through open APIs. Companies such as Chanel, Bang & Olufsen, Shiseido, Shopify, BP, and many others rely on Contentful’s platform.","Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Software",2,501-1000,"Paolo Negri, Sascha Konietzke",9,Late Stage Venture,2021-07-28,175000000,USD,175000000,Series F,175000000,USD,175000000,Series F,333300000,USD,333300000,349600000,USD,349600000,"General Catalyst, Salesforce Ventures, Tiger Global Management, OMERS Ventures, Sapphire Ventures",5,18,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,17
AMBOSS,https://www.crunchbase.com/organization/amboss-miamed-gmbh,Active,,"E-Learning, EdTech, Education, Health Care, Medical, mHealth, Universities","Berlin, Berlin, Germany",AMBOSS is a digital medical knowledge platform providing clinical content for decision-making.,"1,164","European Union (EU), Europe, Middle East, and Africa (EMEA)",10119,,2012-12-01,day,,,,,For Profit,https://www.amboss.com,https://x.com/ambossmed,https://www.facebook.com/amboss.med,https://www.linkedin.com/company/amboss-md,"AMBOSS is a digital medical knowledge platform that provides clinical content, study resources, and tools for medical professionals and students to enhance learning and improve decision-making in healthcare. The platform features an extensive library of medical articles, interactive quizzes, and a question bank designed to prepare users for exams and clinical practice. Additionally, AMBOSS offers a clinical decision support tool that assists healthcare providers in accessing relevant information at the point of care, facilitating better patient management and treatment options.","Education, Health Care, Mobile, Other, Software",5,251-500,"Benedikt Hochkirchen, Jan Sievert Weiss, Kenan Hasan, Madjid Salimi, Nawid Salimi",5,,2025-03-25,240000000,EUR,259154358,Venture - Series Unknown,240000000,EUR,259154358,Venture - Series Unknown,275000000,EUR,298230710,275000000,EUR,298230710,"Cherry Ventures, Lightrock, Wellington Partners, Partech, Target Global",5,8,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Holidu,https://www.crunchbase.com/organization/holidu,Active,,"Search Engine, Travel, Vacation Rental","Munich, Bayern, Germany",Holidu is a travel tech company on a mission to make the search and booking of vacation rentals easy.,"2,525","European Union (EU), Europe, Middle East, and Africa (EMEA)",80992,$100M to $500M,2014-01-01,year,,,,,For Profit,http://www.holidu.com,https://twitter.com/holidu,http://www.facebook.com/holidu,http://www.linkedin.com/company/holidu,"Holidu is one of the fastest-growing travel tech companies worldwide that aims to finally make the search and booking of vacation rentals easy. Its search engine uses proprietary image recognition technology to compare the prices of millions of rental properties across hundred of websites including Airbnb, Booking.com, and Homeaway. This enables users to quickly find the ideal accommodation and to save up to 55% on their bookings. It was founded in 2014 by brothers Johannes and Michael Siebers and is headquartered in Munich, Bayern, Germany.","Internet Services, Real Estate, Travel and Tourism",3,501-1000,"Johannes Siebers, Michael Siebers, Rasmus Porsgaard",10,Late Stage Venture,2022-10-19,75000000,EUR,73242402,Series E,75000000,EUR,73242402,Series E,173605608,USD,173605608,199771293,USD,199771293,"EQT Ventures, Northzone, HV Capital, 83North, Silicon Valley Bank",4,21,4,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Staffbase,https://www.crunchbase.com/organization/staffbase,Active,,"Enterprise Software, Mobile Apps, SaaS, Software","Chemnitz, Sachsen, Germany","Staffbase Communications Cloud provides companies with a complete platform to develop, deliver, and measure communications that inspire.","3,360","European Union (EU), Europe, Middle East, and Africa (EMEA)",09111,$1M to $10M,2014-11-01,month,,,,,For Profit,https://staffbase.com,https://www.twitter.com/StaffbaseHQ,https://www.facebook.com/Staffbase,https://www.linkedin.com/company/staffbase,"Staffbase Communications Cloud provides companies with a complete platform to develop, deliver, and measure communications that inspire. The mobile compatibility of the company’s platform allows employers in manufacturing, healthcare, logistics, automotive, retail, and energy & utilities, to securely reach their employees everywhere with reduced complexity. Staffbase solutions give employees greater access to the corporate information that’s relevant to them, along with tools for the modern digital workplace, including existing intranets. Staffbase provides branded solutions for more than 2,500 leading companies worldwide who are transforming their employee communications.","Apps, Mobile, Software",3,501-1000,"Frank Wolf, Lutz Gerlach, Martin Bohringer",7,Late Stage Venture,2022-03-15,115000000,USD,115000000,Series E,115000000,USD,115000000,Series E,305827764,USD,305827764,305827764,USD,305827764,"General Atlantic, Insight Partners, Headline, Capnamic, IRIS",5,6,4,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
EGYM,https://www.crunchbase.com/organization/egym,Active,,"Fitness, Sports, Wellness","Munich, Bayern, Germany",EGYM is a smart fitness startup that provides fitness and health facilities with intelligent workout solutions.,"3,668","European Union (EU), Europe, Middle East, and Africa (EMEA)",81677,$100M to $500M,2011-01-01,year,,,,,For Profit,https://egym.com,,https://www.facebook.com/egymglobal,https://www.linkedin.com/company/egym-global,EGYM is a global fitness technology company that provides fitness and health facilities with intelligent workout solutions built on a robust ecosystem of connected gym equipment and software. EGYM empowers gym operators to deliver a comprehensive workout experience through its smart gym equipment and digital solutions to support their members' fitness journey and provide data-based guidance to help them stay motivated and achieve their goal of a healthier life with improved physical and mental wellness. Because there is one thing EGYM is convinced of member success means gym success.,"Health Care, Sports",2,251-500,"Florian Sauter, Philipp Roesch-Schlanderer",10,Late Stage Venture,2024-09-24,200000000,USD,200000000,Series G,200000000,USD,200000000,Series G,579736845,USD,579736845,609173302,USD,609173302,"European Investment Bank, High-Tech Gruenderfonds, L Catterton, Highland Europe, NGP Capital",10,12,4,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,4
AnyDesk,https://www.crunchbase.com/organization/anydesk,Active,,"Apps, Customer Service, Information Technology, Software, Web Apps","Stuttgart, Baden-Wurttemberg, Germany",AnyDesk is a remote desktop application.,"3,775","European Union (EU), Europe, Middle East, and Africa (EMEA)",70174,$10M to $50M,2012-01-01,year,,,,,For Profit,http://www.anydesk.com,https://twitter.com/anydesk,http://www.facebook.com/AnyDesk,https://www.linkedin.com/company/anydesk-software-gmbh/,"AnyDesk was founded in Germany in 2014, and its unique remote desktop access software has been downloaded by more than 100 million users worldwide, adding another 5 million every month. The software is based on their unique proprietary codec, DeskRT, that allows for virtually latency-free collaboration, whether you’re down the hall, or on the other side of the world. They’re one of the 50 fastest-growing firms in Germany, and they need someone like you to help us keep expanding. AnyDesk is the fastest remote desktop software on the market. It allows for new usage scenarios and applications that have not been possible with current remote desktop software.","Apps, Information Technology, Other, Professional Services, Software",4,101-250,"Andreas Burike, Andreas Mähler, Olaf Liebe, Philipp Weiser",4,Late Stage Venture,2021-11-16,60000000,EUR,67919402,Series C,60000000,EUR,67919402,Series C,66500000,EUR,75602572,66500000,EUR,75602572,"General Atlantic, EQT Ventures, Insight Partners, Possible Ventures, Chris Hitchen",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Omio,https://www.crunchbase.com/organization/omio,Active,,"Internet, Search Engine, Software, Travel, Travel Accommodations","Berlin, Berlin, Germany","Omio offers a multi-mode search tool that compares and combines rail, air, bus, and car for destinations.","4,177","European Union (EU), Europe, Middle East, and Africa (EMEA)",10119,$1M to $10M,2013-01-01,year,,,,,For Profit,https://www.omio.com,https://twitter.com/omioglobal,https://www.facebook.com/Omio,https://www.linkedin.com/company/omio,"Omio offers a multi-mode search tool that compares and combines rail, air, bus, and car for destinations. The tool is designed to suggest nearby airports and train routes connect up where they would like to go and also estimating the entire length of travel time. After pulling in diverse data sources to offer various route options, Omio also makes it easier to visualize which routes are better and compare the cost of different travel options, displaying a comparative chart based on what is the cheapest or fastest. The platform does not include urban public transport options in any market such as buses but rather is designed for helping travelers make long-distance travel plans. The company was founded in 2012 and headquartered in Berlin, Germany.","Internet Services, Software, Travel and Tourism",1,251-500,Naren Shaam,11,Late Stage Venture,2024-12-02,120000000,USD,120000000,Debt Financing,80000000,USD,80000000,Series E,376000000,USD,376000000,596000000,USD,596000000,"Temasek Holdings, New Enterprise Associates, Kleiner Perkins, G Squared, Hillhouse Investment",11,32,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Clue,https://www.crunchbase.com/organization/clue,Active,,"Apps, Fertility, Health Care, mHealth, Wellness, Women's","Berlin, Berlin, Germany",Clue is a female health application for period and fertility tracking,"4,375","European Union (EU), Europe, Middle East, and Africa (EMEA)",10999,$10M to $50M,2012-01-01,year,,,,,For Profit,https://helloclue.com,https://twitter.com/clue,https://www.facebook.com/clueperiodtracker,https://www.linkedin.com/company/clue-by-biowink,"Clue is a Berlin-based reproductive health company that supports, educates, and empowers people with personalized health insights to support them from their first period to their last. Created with science and technology at its core, the company’s mission is to be a trusted companion, empowering people around the world on their journeys to self-discovery and reproductive health. Founded in 2012, Clue was one of the first femtech companies, serves millions of people around the world in 190+ countries, and regularly partners with universities, researchers, and clinicians on research to help address health gaps. Clue’s app is free to download and includes its signature Period Tracking feature, with additional personalized modes like Clue Conceive and others available in the company’s subscription offering, Clue Plus.","Apps, Community and Lifestyle, Health Care, Mobile, Software",4,51-100,"Hans Raffauf, Ida Tin, Mike Lavigne, Moritz von Buttlar",11,,2023-04-19,8416550,EUR,9217636,Equity Crowdfunding,8416550,EUR,9217636,Equity Crowdfunding,64706135,USD,64706135,64706135,USD,64706135,"Union Square Ventures, FJ Labs, NGP Capital, Balderton Capital, Atlantic Labs",7,33,,,,,,,,,,,,,,Private,,,,,,,,,,,1
