Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
hi.health,https://www.crunchbase.com/organization/hi-health,Active,,"FinTech, Health Care, Health Insurance, Information Technology, InsurTech, Payments","Vienna, Wien, Austria",We are reinventing the claims process in private health insurance combining payment cards with a pay&claim solution,"2,976","European Union (EU), Europe, Middle East, and Africa (EMEA)",1060,$1M to $10M,2019-01-01,year,2025-04-16,day,,,For Profit,http://hi.health,https://twitter.com/hihealth_de,https://www.facebook.com/hihealth.de/,https://www.linkedin.com/company/hidothealth/,"We are reinventing the claims process in private health insurance (PHI). Existing claims processes suffer from significant friction in the user journey and a lack of cost control for insurers.  We eliminate the friction in this process while putting effective cost controls in place. Our solution is to provide insurers with co-branded debit cards distributed to their members. Each member can use their card at any health-related facility in the world - eliminating out-of-pocket expenses entirely. Think of corporate spend management providers like Payhawk, only for international and domestic private health insurers.  So, the advantages are obvious: we help insurers to provide a 10x better user experience and to achieve substantial cost savings by providing structured data, offering real-time visibility on claims costs, minimizing fraudulent claims, and implementing a reward/cashback program to steer user behavior.","Financial Services, Health Care, Information Technology, Payments",2,11-50,"Fredrik Debong, Sebastian Gruber",4,M&A,2023-01-11,6000000,EUR,6459371,Seed,6000000,EUR,6459371,Seed,10000000,EUR,10916958,10000000,EUR,10916958,"Speedinvest, Fin Capital, Seedcamp, Nina Capital, Calm/Storm Ventures",3,9,,Was Acquired,hi.health acquired by Pliant,https://www.crunchbase.com/acquisition/pliant-275b-acquires-hi-health--f866ff1f,Pliant,https://www.crunchbase.com/organization/pliant-275b,2025-04-16,day,,,,Acquisition,,Private,,,,,,,,,,,
Emmi AI,https://www.crunchbase.com/organization/emmi-ai,Active,,"Artificial Intelligence (AI), Simulation","Linz, Oberosterreich, Austria",Emmi AI thinks that the nexus of physics and artificial intelligence represents the next frontier in industrial engineering.,"2,991","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2024-01-01,year,,,,,For Profit,https://www.emmi.ai,,,https://www.linkedin.com/company/emmiai,"Emmi AI thinks that the nexus of physics and artificial intelligence represents the next frontier in industrial engineering. The world of large-scale engineering and manufacturing is ripe for transformation, yet today's innovation processes are hindered by slow, costly simulations and prohibitive computational requirements.","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,11-50,Dennis Just,1,Seed,2025-04-25,15000000,EUR,17107664,Seed,15000000,EUR,17107664,Seed,15000000,EUR,17107664,15000000,EUR,17107664,"Speedinvest, Serena, PUSH VC, 3VC",4,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
PlanRadar,https://www.crunchbase.com/organization/defectradar,Active,,"Architecture, Collaboration, Construction, Real Estate, SaaS","Vienna, Wien, Austria",PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects.,"4,743","European Union (EU), Europe, Middle East, and Africa (EMEA)",1010,$50M to $100M,2013-08-02,day,,,,,For Profit,https://www.planradar.com,https://twitter.com/PlanRadar,https://www.facebook.com/PlanRadar,https://www.linkedin.com/company/planradar,"PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects (e.g. construction documentation, task and defect management. due diligence, etc.). Today, there are in each real estate project on average 1-2 issues per 100ft². PlanRadar's solution with web access and native apps for all kinds of mobile devices (iOS, Android, Windows) supports the user in recording, documentation, communication, and tracking of any kind of information. Project & site managers, architects & planners, specialists, technicians, property &facility managers or investors and owners can record any kind of information (e.g. tasks, defects, ec.) in a cost & time-saving way directly on the site with their tablet or smartphone and assign them in real-time to responsible project stakeholders. PlanRadar has already more than 7,000 customers and more than 60,000 users from 45 different countries worldwide. Thousands of our users save already 7 working hours every single week.","Other, Real Estate, Software",5,251-500,"Clemens Hammerl, Constantin Köck, Domagoj Dolinsek, Ibrahim Imam, Sander van de Rijdt",6,Early Stage Venture,2022-01-20,60000000,EUR,67878064,Series B,60000000,EUR,67878064,Series B,91200000,EUR,103079376,91200000,EUR,103079376,"Insight Partners, Headline, PT1, Redstone.VC, NAP",2,11,,,,,,,,,,,,,,Private,,,,,,,,,,,3
Finmatics,https://www.crunchbase.com/organization/abacus-ac,Active,,"Artificial Intelligence (AI), Financial Services, Information Technology, Machine Learning, Software","Vienna, Wien, Austria","Finmatics is a self-learning, artificial intelligence system that automates the activities of accounting service providers.","7,846","European Union (EU), Europe, Middle East, and Africa (EMEA)",1070,$10M to $50M,2017-01-01,year,2025-04-08,day,,,For Profit,https://www.finmatics.com,,,https://www.linkedin.com/company/11045987/admin/,"Finmatics is a self-learning, artificial intelligence system that automates the activities of accounting service providers. It adapts itself to the unique bookkeeping requirements of companies, industries, and countries by analyzing the activities of human accountants.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software",3,51-100,"Christoph Prieler, Patrick Sagmeister, Ulrich Tröller",5,M&A,2023-03-15,6000000,EUR,6349059,Series A,6000000,EUR,6349059,Series A,10700000,EUR,11704875,10700000,EUR,11704875,"Mangrove Capital Partners, eQventure",2,2,,Was Acquired,Finmatics acquired by Visma,https://www.crunchbase.com/acquisition/visma-acquires-abacus-ac--fc3511cb,Visma,https://www.crunchbase.com/organization/visma,2025-04-08,day,,,,Acquisition,,Private,,,,,,,,,,,1
Howie,https://www.crunchbase.com/organization/howie,Active,,"Architecture, Artificial Intelligence (AI), Civil Engineering, Construction, Information Technology, Real Estate, Software","Vienna, Wien, Austria","Howie is an AI tool designed to assist architects and engineers by automating tasks, optimizing designs, and enhancing workflow efficiency.","8,948","European Union (EU), Europe, Middle East, and Africa (EMEA)",1020,,2024-01-01,year,,,,,For Profit,https://howie.systems,,,https://www.linkedin.com/company/howie-systems,"Howie is an AI tool designed to assist architects and engineers by automating tasks, optimizing designs, and enhancing workflow efficiency. It acts as a digital copilot, leveraging AI to streamline professional processes.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Real Estate, Science and Engineering, Software",1,1-10,Ewa Lenart,1,Seed,2025-03-03,600000,EUR,629133,Pre-Seed,600000,EUR,629133,Pre-Seed,600000,EUR,629133,600000,EUR,629133,"Pi Labs, Vienna Business Agency",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
DeepOpinion,https://www.crunchbase.com/organization/deepopinion,Active,,"Artificial Intelligence (AI), Industrial Automation, Information Technology, Machine Learning, SaaS","Innsbruck, Tirol, Austria",DeepOpinion automates cognitive processes using Generative AI and no-code development.,"9,604","European Union (EU), Europe, Middle East, and Africa (EMEA)",6020,$1M to $10M,2020-01-01,day,,,,,For Profit,https://deepopinion.ai,,,https://www.linkedin.com/company/deepopinion-ai,"DeepOpinion is a cognitive automation platform that enables businesses to automate repetitive processes involving unstructured data. It allows users to create automation workflows quickly through a no-code interface and integrates advanced AI capabilities for improved efficiency. The platform supports various industries, helping teams enhance productivity and streamline operations.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software",2,51-100,"Stefan Engl, Stefan Ramershoven",5,Early Stage Venture,2024-09-26,11000000,EUR,12294665,Series A,11000000,EUR,12294665,Series A,13500000,EUR,15085480,15450095,EUR,17154999,"European Innovation Council, Stride.VC, Creative Destruction Lab (CDL), Alpha Intelligence Capital, Lunar Ventures",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Heizma,https://www.crunchbase.com/organization/heizma,Active,,"Consumer Goods, Home Appliances, Manufacturing","Vienna, Wien, Austria",Heizma also offers an intelligent energy management system.,"10,805","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2023-01-01,year,,,,,For Profit,https://heizma.at,,,https://www.linkedin.com/company/heizma/,"Heizma make climate-neutral heating possible and easy for every family. It offers complete solutions that include not only heating systems, but also photovoltaic systems, power storage, e-charging stations, and intelligent energy management systems.","Consumer Goods, Manufacturing",,51-100,,1,Seed,2025-04-29,2500000,EUR,2848548,Seed,2500000,EUR,2848548,Seed,2500000,EUR,2848548,2500000,EUR,2848548,"Future Fund, Angel Invest, Flyer One Ventures, Daniel W Dippold, Bernhard Niesner",,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
MOSTLY AI,https://www.crunchbase.com/organization/mostly-ai,Active,,"Artificial Intelligence (AI), Big Data, Generative AI, Information Technology, Machine Learning, Predictive Analytics","Vienna, Wien, Austria",MOSTLY AI develops a GPU-powered technology that simulates synthetic customer data at scale.,"10,880","European Union (EU), Europe, Middle East, and Africa (EMEA)",1010,$1M to $10M,2017-02-01,day,,,,,For Profit,https://mostly.ai/,https://twitter.com/mostly_ai,,https://www.linkedin.com/company/mostlyai/,"MOSTLY AI develops a GPU-powered technology that simulates synthetic customer data at scale. It helps generate an unlimited number of realistic and representative synthetic customers, matching the patterns and behaviors of the actual customers at an unprecedented level, helping businesses to open up a whole range of opportunities for otherwise locked-up data, resulting in faster innovation, fewer risks, and lower costs.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,11-50,"Klaudius Kalcher, Michael Platzer, Roland Boubela",3,Early Stage Venture,2022-01-11,25000000,USD,25000000,Series B,25000000,USD,25000000,Series B,31145550,USD,31145550,31145550,USD,31145550,"PUSH VC, Earlybird Venture Capital, Molten Ventures, 42CAP, Citi Ventures",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,1
byrd,https://www.crunchbase.com/organization/byrd,Active,,"E-Commerce, Logistics, Supply Chain Management, Warehousing","Vienna, Wien, Austria",Byrd is an international eCommerce fulfillment network that gives online shops access to a scalable logistics solution.,"13,362","European Union (EU), Europe, Middle East, and Africa (EMEA)",1060,$1M to $10M,2016-01-01,year,,,,,For Profit,https://getbyrd.com,https://twitter.com/getbyrd,https://www.facebook.com/getbyrd/,https://www.linkedin.com/company/10451641,"Byrd runs a fulfillment network that connects online merchants to an international warehouse network, enabling retailers to offer advanced shipping options on an international scale without needing to build their own logistics network. The company’s fulfillment platform integrates with leading e-commerce systems such as Shopify and qualified logistics partners in multiple countries, bringing retailers closer to their customers. Its tech-driven logistics solution uses digital interfaces to connect e-commerce systems to its warehouse management system, which is used by partner-warehouses internationally.","Commerce and Shopping, Transportation",3,101-250,"Alexander Leichter, Petra Dobrocka, Sebastian Mach",5,Late Stage Venture,2022-05-10,53000000,EUR,55804512,Series C,53000000,EUR,55804512,Series C,75870000,EUR,82938009,75870000,EUR,82938009,"Speedinvest, VentureFriends, FJ Labs, Verve Ventures, Elevator Ventures",4,14,,,,,,,,,,,,,,Private,,,,,,,,,,,1
XUND,https://www.crunchbase.com/organization/xund,Active,,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Health Diagnostics, Health Insurance, Hospital, Medical, Natural Language Processing, Personal Health, Pharmaceutical","Vienna, Wien, Austria",We enable healthcare companies to digitize patient interactions and translate data into actionable insights.,"13,541","European Union (EU), Europe, Middle East, and Africa (EMEA)",1010,$1M to $10M,2018-01-01,year,,,,,For Profit,https://xund.ai,,,https://www.linkedin.com/company/xund,"XUND enables healthcare organizations to digitize patient interactions and turn data into actionable insights. Founded in 2018, the Vienna-based company provides better prevention, faster diagnosis and integrated monitoring with its Patient Interaction Suite. By leveraging cutting-edge Natural Language Processing (NLP) technology, we can automatically analyze millions of medical publications to process data on 4,000+ condition concepts and thus reach unparalleled medical quality.The NLP technology results from more than 5 years of R&D and is a fundamental part of XUND's product development process as a medical device manufacturer.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",3,51-100,"Lukas Seper, Tamás Petrovics, Zoltán Tarabó",5,Seed,2025-03-05,6000000,EUR,6371950,Seed,6000000,EUR,6371950,Seed,14000000,EUR,14349500,14000000,EUR,14349500,"MassMutual Ventures, Lead Ventures, J&T Ventures, MMC Ventures, MMV Europe & Asia-Pacific",5,11,,,,,,,,,,,,,,Private,,,,,,,,,,,5
